Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
701,name,name775,Web,complete,insertValue,2019-03-07T21:04:41.987+11:00,surname,surname775,Web,complete,insertValue,2019-03-07T21:04:52.194+11:00,age,21,Web,complete,insertValue,2019-03-07T21:04:59.543+11:00,3,type,Web,complete,insertValue,2019-03-07T21:05:07.804+11:00,B4,Web,complete,clickButton,2019-03-07T21:05:26.496+11:00,Web,complete,goToUrl,2019-03-07T21:05:29.820+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:05:30.516+11:00,valueX,valuex775,Web,complete,insertValue,2019-03-07T21:05:43.612+11:00,Cancel,Web,complete,clickButton,2019-03-07T21:05:47.229+11:00,,
702,name,name1804,Web,complete,insertValue,2019-03-07T21:05:57.229+11:00,surname,surname1804,Web,complete,insertValue,2019-03-07T21:06:03.247+11:00,age,22,Web,complete,insertValue,2019-03-07T21:06:20.731+11:00,1,type,Web,complete,insertValue,2019-03-07T21:06:37.794+11:00,B1,Web,complete,clickButton,2019-03-07T21:06:57.904+11:00,insertValue,B,4053,Excel,8,complete,2019-03-07T21:07:00.590+11:00,Web,complete,goToUrl,2019-03-07T21:07:11.532+11:00,www.webpage2.com,value2,value4053,Web,complete,copy,2019-03-07T21:07:11.532+11:00,paste,C,vaue4053,Excel,2
703,name,name1391,Web,complete,insertValue,2019-03-07T21:07:27.900+11:00,surname,surname1391,Web,complete,insertValue,2019-03-07T21:07:38.029+11:00,age,21,Web,complete,insertValue,2019-03-07T21:07:47.230+11:00,3,type,Web,complete,insertValue,2019-03-07T21:08:00.947+11:00,B4,Web,complete,clickButton,2019-03-07T21:08:22.180+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:08:25.773+11:00,data123.xls,1140,Excel,complete,findValue,FALSE,2019-03-07T21:08:29.440+11:00,copy,B,value1391,Excel,1,complete,2019-03-07T21:08:32.428+11:00,finalCode,vaue1391,Web,complete
704,name,name1492,Web,complete,insertValue,2019-03-07T21:08:49.080+11:00,surname,surname1492,Web,complete,insertValue,2019-03-07T21:08:51.260+11:00,age,27,Web,complete,insertValue,2019-03-07T21:09:01.086+11:00,3,type,Web,complete,insertValue,2019-03-07T21:09:12.414+11:00,B4,Web,complete,clickButton,2019-03-07T21:09:20.949+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:09:23.943+11:00,data123.xls,3259,Excel,complete,findValue,FALSE,2019-03-07T21:09:27.574+11:00,copy,B,value1492,Excel,1,complete,2019-03-07T21:09:30.314+11:00,finalCode,vaue1492,Web,complete
705,name,name1897,Web,complete,insertValue,2019-03-07T21:09:45.627+11:00,surname,surname1897,Web,complete,insertValue,2019-03-07T21:09:46.703+11:00,age,18,Web,complete,insertValue,2019-03-07T21:09:52.619+11:00,4,type,Web,complete,insertValue,2019-03-07T21:09:57.392+11:00,B4,Web,complete,clickButton,2019-03-07T21:10:07.171+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:10:08.121+11:00,data123.xls,1779,Excel,complete,findValue,FALSE,2019-03-07T21:10:10.111+11:00,copy,B,value1897,Excel,1,complete,2019-03-07T21:10:13.012+11:00,finalCode,vaue1897,Web,complete
706,name,name1532,Web,complete,insertValue,2019-03-07T21:10:31.129+11:00,surname,surname1532,Web,complete,insertValue,2019-03-07T21:10:44.856+11:00,age,29,Web,complete,insertValue,2019-03-07T21:10:52.882+11:00,2,type,Web,complete,insertValue,2019-03-07T21:11:07.278+11:00,B1,Web,complete,clickButton,2019-03-07T21:11:14.877+11:00,insertValue,B,2272,Excel,5,complete,2019-03-07T21:11:18.263+11:00,Web,complete,goToUrl,2019-03-07T21:11:18.263+11:00,www.webpage2.com,value2,value2272,Web,complete,copy,2019-03-07T21:11:25.097+11:00,finalCode,vaue2272,Web,complete,paste
707,name,name2266,Web,complete,insertValue,2019-03-07T21:11:42.236+11:00,surname,surname2266,Web,complete,insertValue,2019-03-07T21:11:53.952+11:00,age,19,Web,complete,insertValue,2019-03-07T21:12:06.288+11:00,3,type,Web,complete,insertValue,2019-03-07T21:12:10.657+11:00,B4,Web,complete,clickButton,2019-03-07T21:12:23.131+11:00,Web,complete,goToUrl,2019-03-07T21:12:24.575+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:12:27.850+11:00,valueX,valuex2266,Web,complete,insertValue,2019-03-07T21:12:31.590+11:00,OK,Web,complete,clickButton,2019-03-07T21:12:34.225+11:00,,
708,name,name2005,Web,complete,insertValue,2019-03-07T21:12:44.225+11:00,surname,surname2005,Web,complete,insertValue,2019-03-07T21:12:56.206+11:00,age,23,Web,complete,insertValue,2019-03-07T21:12:58.025+11:00,2,type,Web,complete,insertValue,2019-03-07T21:13:11.832+11:00,B1,Web,complete,clickButton,2019-03-07T21:13:16.373+11:00,insertValue,B,4910,Excel,21,complete,2019-03-07T21:13:19.478+11:00,Web,complete,goToUrl,2019-03-07T21:13:20.899+11:00,www.webpage2.com,value2,value4910,Web,complete,copy,2019-03-07T21:13:25.889+11:00,finalCode,vaue4910,Web,complete,paste
709,name,name2493,Web,complete,insertValue,2019-03-07T21:13:40.356+11:00,surname,surname2493,Web,complete,insertValue,2019-03-07T21:13:49.718+11:00,age,21,Web,complete,insertValue,2019-03-07T21:14:01.513+11:00,1,type,Web,complete,insertValue,2019-03-07T21:14:19.073+11:00,B1,Web,complete,clickButton,2019-03-07T21:14:24.378+11:00,insertValue,B,2439,Excel,16,complete,2019-03-07T21:14:27.554+11:00,Web,complete,goToUrl,2019-03-07T21:14:37.373+11:00,www.webpage2.com,value2,value2439,Web,complete,copy,2019-03-07T21:14:40.121+11:00,paste,C,vaue2439,Excel,2
710,name,name1691,Web,complete,insertValue,2019-03-07T21:14:57.215+11:00,surname,surname1691,Web,complete,insertValue,2019-03-07T21:15:03.983+11:00,age,24,Web,complete,insertValue,2019-03-07T21:15:14.337+11:00,3,type,Web,complete,insertValue,2019-03-07T21:15:28.438+11:00,B4,Web,complete,clickButton,2019-03-07T21:15:46.094+11:00,Web,complete,goToUrl,2019-03-07T21:15:49.608+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:15:51.464+11:00,valueX,valuex1691,Web,complete,insertValue,2019-03-07T21:15:56.726+11:00,OK,Web,complete,clickButton,2019-03-07T21:16:00.502+11:00,,
711,name,name281,Web,complete,insertValue,2019-03-07T21:16:10.502+11:00,surname,surname281,Web,complete,insertValue,2019-03-07T21:16:19.519+11:00,age,21,Web,complete,insertValue,2019-03-07T21:16:19.519+11:00,3,type,Web,complete,insertValue,2019-03-07T21:16:30.482+11:00,B4,Web,complete,clickButton,2019-03-07T21:16:42.123+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:16:44.594+11:00,data123.xls,1337,Excel,complete,findValue,TRUE,2019-03-07T21:16:48.138+11:00,copy,B,value281,Excel,1,complete,2019-03-07T21:16:51.093+11:00,finalCode,vaue281,Web,complete
712,name,name1496,Web,complete,insertValue,2019-03-07T21:17:06.769+11:00,surname,surname1496,Web,complete,insertValue,2019-03-07T21:17:12.315+11:00,age,25,Web,complete,insertValue,2019-03-07T21:17:19.152+11:00,1,type,Web,complete,insertValue,2019-03-07T21:17:25.112+11:00,B1,Web,complete,clickButton,2019-03-07T21:17:29.251+11:00,insertValue,B,2726,Excel,26,complete,2019-03-07T21:17:31.257+11:00,Web,complete,goToUrl,2019-03-07T21:17:35.266+11:00,www.webpage2.com,value2,value2726,Web,complete,copy,2019-03-07T21:17:47.810+11:00,finalCode,vaue2726,Web,complete,paste
713,name,name2062,Web,complete,insertValue,2019-03-07T21:18:02.747+11:00,surname,surname2062,Web,complete,insertValue,2019-03-07T21:18:08.475+11:00,age,25,Web,complete,insertValue,2019-03-07T21:18:21.070+11:00,2,type,Web,complete,insertValue,2019-03-07T21:18:36.467+11:00,B1,Web,complete,clickButton,2019-03-07T21:18:48.608+11:00,insertValue,B,3832,Excel,31,complete,2019-03-07T21:18:49.525+11:00,Web,complete,goToUrl,2019-03-07T21:18:55.652+11:00,www.webpage2.com,value2,value3832,Web,complete,copy,2019-03-07T21:18:59.031+11:00,paste,C,vaue3832,Excel,2
714,name,name299,Web,complete,insertValue,2019-03-07T21:19:15.392+11:00,surname,surname299,Web,complete,insertValue,2019-03-07T21:19:22.025+11:00,age,22,Web,complete,insertValue,2019-03-07T21:19:32.686+11:00,2,type,Web,complete,insertValue,2019-03-07T21:19:32.686+11:00,B1,Web,complete,clickButton,2019-03-07T21:19:40.416+11:00,insertValue,B,4024,Excel,30,complete,2019-03-07T21:19:43.269+11:00,Web,complete,goToUrl,2019-03-07T21:19:53.283+11:00,www.webpage2.com,value2,value4024,Web,complete,copy,2019-03-07T21:20:00.023+11:00,finalCode,vaue4024,Web,complete,paste
715,name,name1535,Web,complete,insertValue,2019-03-07T21:20:18.886+11:00,surname,surname1535,Web,complete,insertValue,2019-03-07T21:20:26.830+11:00,age,28,Web,complete,insertValue,2019-03-07T21:20:32.902+11:00,2,type,Web,complete,insertValue,2019-03-07T21:20:43.612+11:00,B1,Web,complete,clickButton,2019-03-07T21:20:53.583+11:00,insertValue,B,2987,Excel,37,complete,2019-03-07T21:20:57.510+11:00,Web,complete,goToUrl,2019-03-07T21:20:58.723+11:00,www.webpage2.com,value2,value2987,Web,complete,copy,2019-03-07T21:20:58.723+11:00,finalCode,vaue2987,Web,complete,paste
716,name,name673,Web,complete,insertValue,2019-03-07T21:21:13.534+11:00,surname,surname673,Web,complete,insertValue,2019-03-07T21:21:20.197+11:00,age,18,Web,complete,insertValue,2019-03-07T21:21:36.332+11:00,3,type,Web,complete,insertValue,2019-03-07T21:21:44.416+11:00,B4,Web,complete,clickButton,2019-03-07T21:21:48.191+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:21:52.708+11:00,data123.xls,1853,Excel,complete,findValue,FALSE,2019-03-07T21:21:55.515+11:00,copy,B,value673,Excel,1,complete,2019-03-07T21:21:57.574+11:00,finalCode,vaue673,Web,complete
717,name,name808,Web,complete,insertValue,2019-03-07T21:22:14.061+11:00,surname,surname808,Web,complete,insertValue,2019-03-07T21:22:31.334+11:00,age,21,Web,complete,insertValue,2019-03-07T21:22:33.648+11:00,1,type,Web,complete,insertValue,2019-03-07T21:22:52.073+11:00,B1,Web,complete,clickButton,2019-03-07T21:22:59.803+11:00,insertValue,B,3239,Excel,36,complete,2019-03-07T21:23:01.876+11:00,Web,complete,goToUrl,2019-03-07T21:23:10.713+11:00,www.webpage2.com,value2,value3239,Web,complete,copy,2019-03-07T21:23:25.230+11:00,finalCode,vaue3239,Web,complete,paste
718,name,name2959,Web,complete,insertValue,2019-03-07T21:23:42.671+11:00,surname,surname2959,Web,complete,insertValue,2019-03-07T21:23:50.560+11:00,age,21,Web,complete,insertValue,2019-03-07T21:23:52.131+11:00,3,type,Web,complete,insertValue,2019-03-07T21:24:00.112+11:00,B4,Web,complete,clickButton,2019-03-07T21:24:10.837+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:24:12.364+11:00,data123.xls,1326,Excel,complete,findValue,TRUE,2019-03-07T21:24:15.935+11:00,copy,B,value2959,Excel,1,complete,2019-03-07T21:24:19.180+11:00,paste,C,vaue2959,Excel
719,name,name1141,Web,complete,insertValue,2019-03-07T21:24:32.874+11:00,surname,surname1141,Web,complete,insertValue,2019-03-07T21:24:39.789+11:00,age,19,Web,complete,insertValue,2019-03-07T21:24:52.767+11:00,2,type,Web,complete,insertValue,2019-03-07T21:25:04.427+11:00,B1,Web,complete,clickButton,2019-03-07T21:25:13.794+11:00,insertValue,B,3856,Excel,30,complete,2019-03-07T21:25:16.634+11:00,Web,complete,goToUrl,2019-03-07T21:25:26.978+11:00,www.webpage2.com,value2,value3856,Web,complete,copy,2019-03-07T21:25:29.227+11:00,finalCode,vaue3856,Web,complete,paste
720,name,name670,Web,complete,insertValue,2019-03-07T21:25:44.258+11:00,surname,surname670,Web,complete,insertValue,2019-03-07T21:25:59.155+11:00,age,21,Web,complete,insertValue,2019-03-07T21:26:01.564+11:00,1,type,Web,complete,insertValue,2019-03-07T21:26:02.638+11:00,B1,Web,complete,clickButton,2019-03-07T21:26:08.600+11:00,insertValue,B,3787,Excel,32,complete,2019-03-07T21:26:13.293+11:00,Web,complete,goToUrl,2019-03-07T21:26:15.610+11:00,www.webpage2.com,value2,value3787,Web,complete,copy,2019-03-07T21:26:28.204+11:00,paste,C,vaue3787,Excel,2
721,name,name1387,Web,complete,insertValue,2019-03-07T21:26:43.133+11:00,surname,surname1387,Web,complete,insertValue,2019-03-07T21:26:46.334+11:00,age,25,Web,complete,insertValue,2019-03-07T21:26:47.995+11:00,1,type,Web,complete,insertValue,2019-03-07T21:26:49.775+11:00,B1,Web,complete,clickButton,2019-03-07T21:26:59.415+11:00,insertValue,B,2445,Excel,29,complete,2019-03-07T21:27:02.592+11:00,Web,complete,goToUrl,2019-03-07T21:27:02.592+11:00,www.webpage2.com,value2,value2445,Web,complete,copy,2019-03-07T21:27:08.645+11:00,finalCode,vaue2445,Web,complete,paste
722,name,name812,Web,complete,insertValue,2019-03-07T21:27:22.299+11:00,surname,surname812,Web,complete,insertValue,2019-03-07T21:27:28.861+11:00,age,20,Web,complete,insertValue,2019-03-07T21:27:38.070+11:00,2,type,Web,complete,insertValue,2019-03-07T21:27:45.289+11:00,B1,Web,complete,clickButton,2019-03-07T21:27:58.507+11:00,insertValue,B,4097,Excel,5,complete,2019-03-07T21:27:58.965+11:00,Web,complete,goToUrl,2019-03-07T21:28:05.571+11:00,www.webpage2.com,value2,value4097,Web,complete,copy,2019-03-07T21:28:12.521+11:00,paste,C,vaue4097,Excel,2
723,name,name815,Web,complete,insertValue,2019-03-07T21:28:28.232+11:00,surname,surname815,Web,complete,insertValue,2019-03-07T21:28:39.766+11:00,age,38,Web,complete,insertValue,2019-03-07T21:28:49.734+11:00,3,type,Web,complete,insertValue,2019-03-07T21:29:01.998+11:00,B4,Web,complete,clickButton,2019-03-07T21:29:13.963+11:00,Web,complete,goToUrl,2019-03-07T21:29:16.887+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:29:19.407+11:00,valueX,valuex815,Web,complete,insertValue,2019-03-07T21:29:28.550+11:00,Cancel,Web,complete,clickButton,2019-03-07T21:29:31.288+11:00,,
724,name,name2580,Web,complete,insertValue,2019-03-07T21:29:41.288+11:00,surname,surname2580,Web,complete,insertValue,2019-03-07T21:29:46.965+11:00,age,29,Web,complete,insertValue,2019-03-07T21:30:03.515+11:00,4,type,Web,complete,insertValue,2019-03-07T21:30:05.914+11:00,B4,Web,complete,clickButton,2019-03-07T21:30:17.834+11:00,Web,complete,goToUrl,2019-03-07T21:30:22.129+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:30:25.929+11:00,valueX,valuex2580,Web,complete,insertValue,2019-03-07T21:30:40.506+11:00,OK,Web,complete,clickButton,2019-03-07T21:30:43.979+11:00,,
725,name,name1996,Web,complete,insertValue,2019-03-07T21:30:53.979+11:00,surname,surname1996,Web,complete,insertValue,2019-03-07T21:31:00.611+11:00,age,24,Web,complete,insertValue,2019-03-07T21:31:13.178+11:00,4,type,Web,complete,insertValue,2019-03-07T21:31:30.612+11:00,B4,Web,complete,clickButton,2019-03-07T21:31:36.811+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:31:41.362+11:00,data123.xls,3734,Excel,complete,findValue,TRUE,2019-03-07T21:31:45.760+11:00,copy,B,value1996,Excel,1,complete,2019-03-07T21:31:48.008+11:00,finalCode,vaue1996,Web,complete
726,name,name2259,Web,complete,insertValue,2019-03-07T21:32:04.520+11:00,surname,surname2259,Web,complete,insertValue,2019-03-07T21:32:07.211+11:00,age,28,Web,complete,insertValue,2019-03-07T21:32:10.332+11:00,2,type,Web,complete,insertValue,2019-03-07T21:32:19.274+11:00,B1,Web,complete,clickButton,2019-03-07T21:32:22.378+11:00,insertValue,B,2321,Excel,35,complete,2019-03-07T21:32:26.274+11:00,Web,complete,goToUrl,2019-03-07T21:32:30.683+11:00,www.webpage2.com,value2,value2321,Web,complete,copy,2019-03-07T21:32:38.359+11:00,finalCode,vaue2321,Web,complete,paste
727,name,name933,Web,complete,insertValue,2019-03-07T21:32:53.591+11:00,surname,surname933,Web,complete,insertValue,2019-03-07T21:33:05.238+11:00,age,27,Web,complete,insertValue,2019-03-07T21:33:19.359+11:00,1,type,Web,complete,insertValue,2019-03-07T21:33:25.307+11:00,B1,Web,complete,clickButton,2019-03-07T21:33:31.414+11:00,insertValue,B,4758,Excel,4,complete,2019-03-07T21:33:34.962+11:00,Web,complete,goToUrl,2019-03-07T21:33:41.339+11:00,www.webpage2.com,value2,value4758,Web,complete,copy,2019-03-07T21:33:55.983+11:00,finalCode,vaue4758,Web,complete,paste
728,name,name870,Web,complete,insertValue,2019-03-07T21:34:12.516+11:00,surname,surname870,Web,complete,insertValue,2019-03-07T21:34:21.484+11:00,age,38,Web,complete,insertValue,2019-03-07T21:34:25.197+11:00,2,type,Web,complete,insertValue,2019-03-07T21:34:30.335+11:00,B1,Web,complete,clickButton,2019-03-07T21:34:36.041+11:00,insertValue,B,2483,Excel,32,complete,2019-03-07T21:34:40.826+11:00,Web,complete,goToUrl,2019-03-07T21:34:48.257+11:00,www.webpage2.com,value2,value2483,Web,complete,copy,2019-03-07T21:34:55.474+11:00,paste,C,vaue2483,Excel,2
729,name,name763,Web,complete,insertValue,2019-03-07T21:35:10.783+11:00,surname,surname763,Web,complete,insertValue,2019-03-07T21:35:18.412+11:00,age,18,Web,complete,insertValue,2019-03-07T21:35:22.606+11:00,4,type,Web,complete,insertValue,2019-03-07T21:35:22.606+11:00,B4,Web,complete,clickButton,2019-03-07T21:35:24.329+11:00,Web,complete,goToUrl,2019-03-07T21:35:27.548+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:35:30.958+11:00,valueX,valuex763,Web,complete,insertValue,2019-03-07T21:35:38.372+11:00,OK,Web,complete,clickButton,2019-03-07T21:35:41.832+11:00,,
730,name,name2194,Web,complete,insertValue,2019-03-07T21:35:51.832+11:00,surname,surname2194,Web,complete,insertValue,2019-03-07T21:35:59.220+11:00,age,26,Web,complete,insertValue,2019-03-07T21:36:08.675+11:00,4,type,Web,complete,insertValue,2019-03-07T21:36:16.999+11:00,B4,Web,complete,clickButton,2019-03-07T21:36:32.206+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:36:35.584+11:00,data123.xls,2310,Excel,complete,findValue,FALSE,2019-03-07T21:36:39.404+11:00,copy,B,value2194,Excel,1,complete,2019-03-07T21:36:42.606+11:00,finalCode,vaue2194,Web,complete
731,name,name448,Web,complete,insertValue,2019-03-07T21:36:57.256+11:00,surname,surname448,Web,complete,insertValue,2019-03-07T21:37:07.597+11:00,age,29,Web,complete,insertValue,2019-03-07T21:37:16.029+11:00,3,type,Web,complete,insertValue,2019-03-07T21:37:23.520+11:00,B4,Web,complete,clickButton,2019-03-07T21:37:31.726+11:00,Web,complete,goToUrl,2019-03-07T21:37:33.585+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:37:35.896+11:00,valueX,valuex448,Web,complete,insertValue,2019-03-07T21:37:40.716+11:00,Cancel,Web,complete,clickButton,2019-03-07T21:37:43.126+11:00,,
732,name,name1945,Web,complete,insertValue,2019-03-07T21:37:53.126+11:00,surname,surname1945,Web,complete,insertValue,2019-03-07T21:37:55.307+11:00,age,21,Web,complete,insertValue,2019-03-07T21:38:09.307+11:00,4,type,Web,complete,insertValue,2019-03-07T21:38:16.032+11:00,B4,Web,complete,clickButton,2019-03-07T21:38:21.250+11:00,Web,complete,goToUrl,2019-03-07T21:38:24.142+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:38:26.575+11:00,valueX,valuex1945,Web,complete,insertValue,2019-03-07T21:38:31.886+11:00,Cancel,Web,complete,clickButton,2019-03-07T21:38:35.535+11:00,,
733,name,name605,Web,complete,insertValue,2019-03-07T21:38:45.535+11:00,surname,surname605,Web,complete,insertValue,2019-03-07T21:38:52.897+11:00,age,26,Web,complete,insertValue,2019-03-07T21:38:55.337+11:00,3,type,Web,complete,insertValue,2019-03-07T21:39:06.357+11:00,B4,Web,complete,clickButton,2019-03-07T21:39:24.184+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:39:27.537+11:00,data123.xls,2396,Excel,complete,findValue,TRUE,2019-03-07T21:39:29.391+11:00,copy,B,value605,Excel,1,complete,2019-03-07T21:39:34.012+11:00,finalCode,vaue605,Web,complete
734,name,name2382,Web,complete,insertValue,2019-03-07T21:39:47.343+11:00,surname,surname2382,Web,complete,insertValue,2019-03-07T21:39:47.343+11:00,age,48,Web,complete,insertValue,2019-03-07T21:39:59.450+11:00,3,type,Web,complete,insertValue,2019-03-07T21:40:05.678+11:00,B4,Web,complete,clickButton,2019-03-07T21:40:12.223+11:00,Web,complete,goToUrl,2019-03-07T21:40:15.276+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:40:17.309+11:00,valueX,valuex2382,Web,complete,insertValue,2019-03-07T21:40:23.690+11:00,Cancel,Web,complete,clickButton,2019-03-07T21:40:26.942+11:00,,
735,name,name299,Web,complete,insertValue,2019-03-07T21:40:36.942+11:00,surname,surname299,Web,complete,insertValue,2019-03-07T21:40:43.410+11:00,age,26,Web,complete,insertValue,2019-03-07T21:40:49.234+11:00,2,type,Web,complete,insertValue,2019-03-07T21:40:59.728+11:00,B1,Web,complete,clickButton,2019-03-07T21:41:00.577+11:00,insertValue,B,4555,Excel,9,complete,2019-03-07T21:41:03.442+11:00,Web,complete,goToUrl,2019-03-07T21:41:14.434+11:00,www.webpage2.com,value2,value4555,Web,complete,copy,2019-03-07T21:41:15.359+11:00,paste,C,vaue4555,Excel,2
736,name,name2749,Web,complete,insertValue,2019-03-07T21:41:32.423+11:00,surname,surname2749,Web,complete,insertValue,2019-03-07T21:41:41.295+11:00,age,25,Web,complete,insertValue,2019-03-07T21:41:48.513+11:00,3,type,Web,complete,insertValue,2019-03-07T21:41:54.021+11:00,B4,Web,complete,clickButton,2019-03-07T21:41:59.090+11:00,Web,complete,goToUrl,2019-03-07T21:42:01.726+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T21:42:05.229+11:00,valueX,valuex2749,Web,complete,insertValue,2019-03-07T21:42:11.806+11:00,OK,Web,complete,clickButton,2019-03-07T21:42:15.527+11:00,,
737,name,name572,Web,complete,insertValue,2019-03-07T21:42:25.527+11:00,surname,surname572,Web,complete,insertValue,2019-03-07T21:42:47.811+11:00,age,18,Web,complete,insertValue,2019-03-07T21:42:51.103+11:00,1,type,Web,complete,insertValue,2019-03-07T21:43:05.734+11:00,B1,Web,complete,clickButton,2019-03-07T21:43:12.621+11:00,insertValue,B,1373,Excel,4,complete,2019-03-07T21:43:14.658+11:00,Web,complete,goToUrl,2019-03-07T21:43:27.945+11:00,www.webpage2.com,value2,value1373,Web,complete,copy,2019-03-07T21:43:29.173+11:00,paste,C,vaue1373,Excel,2
738,name,name2713,Web,complete,insertValue,2019-03-07T21:43:47.077+11:00,surname,surname2713,Web,complete,insertValue,2019-03-07T21:44:07.444+11:00,age,24,Web,complete,insertValue,2019-03-07T21:44:10.699+11:00,3,type,Web,complete,insertValue,2019-03-07T21:44:21.944+11:00,B4,Web,complete,clickButton,2019-03-07T21:44:31.934+11:00,Excel,complete,openFile,Sheet1,2019-03-07T21:44:35.769+11:00,data123.xls,2449,Excel,complete,findValue,FALSE,2019-03-07T21:44:41.414+11:00,copy,B,value2713,Excel,1,complete,2019-03-07T21:44:44.139+11:00,finalCode,vaue2713,Web,complete
739,name,name128,Web,complete,insertValue,2019-03-07T21:45:00.915+11:00,surname,surname128,Web,complete,insertValue,2019-03-07T21:45:12.336+11:00,age,21,Web,complete,insertValue,2019-03-07T21:45:19.076+11:00,1,type,Web,complete,insertValue,2019-03-07T21:45:24.481+11:00,B1,Web,complete,clickButton,2019-03-07T21:45:32.671+11:00,insertValue,B,2051,Excel,18,complete,2019-03-07T21:45:34.650+11:00,Web,complete,goToUrl,2019-03-07T21:45:49.984+11:00,www.webpage2.com,value2,value2051,Web,complete,copy,2019-03-07T21:46:01.962+11:00,paste,C,vaue2051,Excel,2
740,name,name280,Web,complete,insertValue,2019-03-07T21:46:17.665+11:00,surname,surname280,Web,complete,insertValue,2019-03-07T21:46:17.665+11:00,age,18,Web,complete,insertValue,2019-03-07T21:46:32.592+11:00,2,type,Web,complete,insertValue,2019-03-07T21:46:33.236+11:00,B1,Web,complete,clickButton,2019-03-07T21:46:37.102+11:00,insertValue,B,2345,Excel,16,complete,2019-03-07T21:46:39.792+11:00,Web,complete,goToUrl,2019-03-07T21:46:56.841+11:00,www.webpage2.com,value2,value2345,Web,complete,copy,2019-03-07T21:47:11.088+11:00,finalCode,vaue2345,Web,complete,paste
741,name,name2404,Web,complete,insertValue,2019-03-07T21:47:27.202+11:00,surname,surname2404,Web,complete,insertValue,2019-03-07T21:47:33.137+11:00,age,43,Web,complete,insertValue,2019-03-07T21:47:45.265+11:00,2,type,Web,complete,insertValue,2019-03-07T21:47:51.625+11:00,B1,Web,complete,clickButton,2019-03-07T21:48:01.761+11:00,insertValue,B,4554,Excel,28,complete,2019-03-07T21:48:02.194+11:00,Web,complete,goToUrl,2019-03-07T21:48:03.027+11:00,www.webpage2.com,value2,value4554,Web,complete,copy,2019-03-07T21:48:05.666+11:00,paste,C,vaue4554,Excel,2
742,name,name846,Web,complete,insertValue,2019-03-07T21:48:21.251+11:00,surname,surname846,Web,complete,insertValue,2019-03-07T21:48:25.883+11:00,age,26,Web,complete,insertValue,2019-03-07T21:48:33.284+11:00,1,type,Web,complete,insertValue,2019-03-07T21:48:44.313+11:00,B1,Web,complete,clickButton,2019-03-07T21:48:59.260+11:00,insertValue,B,2833,Excel,32,complete,2019-03-07T21:49:04.094+11:00,Web,complete,goToUrl,2019-03-07T21:49:15.999+11:00,www.webpage2.com,value2,value2833,Web,complete,copy,2019-03-07T21:49:21.191+11:00,paste,C,vaue2833,Excel,2
743,name,name2329,Web,complete,insertValue,2019-03-07T21:49:39.641+11:00,surname,surname2329,Web,complete,insertValue,2019-03-07T21:49:48.126+11:00,age,27,Web,complete,insertValue,2019-03-07T21:49:54.187+11:00,2,type,Web,complete,insertValue,2019-03-07T21:50:00.423+11:00,B1,Web,complete,clickButton,2019-03-07T21:50:03.626+11:00,insertValue,B,3330,Excel,15,complete,2019-03-07T21:50:06.699+11:00,Web,complete,goToUrl,2019-03-07T21:50:15.823+11:00,www.webpage2.com,value2,value3330,Web,complete,copy,2019-03-07T21:50:23.631+11:00,finalCode,vaue3330,Web,complete,paste
