Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
489,Clients,Web,complete,clickButton,2019-03-05T20:00:39.754+11:00,clientID,ID400,Web,complete,insertValue,2019-03-05T20:00:42.364+11:00,Web,complete,pressKey,2019-03-05T20:00:49.218+11:00,enter,update,ID400,Web,complete,clickButton,2019-03-05T20:00:52.273+11:00,address,addA1107addB912,Web,complete,insertValue,2019-03-05T20:00:54.463+11:00,Country46,country,Web,complete,insertValue,2019-03-05T20:01:04.217+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:01:05.057+11:00,OK,Web,complete,clickButton,2019-03-05T20:01:08.469+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:01:10.934+11:00,,,,,,,,,,,,,,,
490,Clients,Web,complete,clickButton,2019-03-05T20:01:24.494+11:00,clientID,ID412,Web,complete,insertValue,2019-03-05T20:01:27.543+11:00,Web,complete,pressKey,2019-03-05T20:01:41.637+11:00,enter,update,ID412,Web,complete,clickButton,2019-03-05T20:01:44.535+11:00,address,addA460addB1995,Web,complete,insertValue,2019-03-05T20:01:45.318+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:01:59.886+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:02:05.542+11:00,ID412,address,addB1995,Web,complete,copy,2019-03-05T20:02:13.884+11:00,paste,A,addB1995,Excel,5,complete,2019-03-05T20:02:21.602+11:00,save,Excel,complete,saveFile,2019-03-05T20:02:24.483+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:02:28.860+11:00
491,Clients,Web,complete,clickButton,2019-03-05T20:02:41.427+11:00,clientID,ID3,Web,complete,insertValue,2019-03-05T20:02:43.307+11:00,Web,complete,pressKey,2019-03-05T20:02:53.307+11:00,enter,update,ID3,Web,complete,clickButton,2019-03-05T20:02:58.135+11:00,address,addA1722addB483,Web,complete,insertValue,2019-03-05T20:03:01.029+11:00,Country145,country,Web,complete,insertValue,2019-03-05T20:03:07.207+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:03:08.129+11:00,OK,Web,complete,clickButton,2019-03-05T20:03:10.837+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:03:15.426+11:00,,,,,,,,,,,,,,,
492,Clients,Web,complete,clickButton,2019-03-05T20:03:27.965+11:00,clientID,ID927,Web,complete,insertValue,2019-03-05T20:03:32.386+11:00,Web,complete,pressKey,2019-03-05T20:03:38.465+11:00,enter,update,ID927,Web,complete,clickButton,2019-03-05T20:03:42.717+11:00,address,addA432addB1365,Web,complete,insertValue,2019-03-05T20:03:45.860+11:00,Country13,country,Web,complete,insertValue,2019-03-05T20:03:59.257+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:04:12.821+11:00,OK,Web,complete,clickButton,2019-03-05T20:04:16.240+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:04:18.702+11:00,,,,,,,,,,,,,,,
493,Clients,Web,complete,clickButton,2019-03-05T20:04:30.136+11:00,clientID,ID819,Web,complete,insertValue,2019-03-05T20:04:35.178+11:00,Web,complete,pressKey,2019-03-05T20:04:38.624+11:00,enter,update,ID819,Web,complete,clickButton,2019-03-05T20:04:42.477+11:00,address,addA1538addB886,Web,complete,insertValue,2019-03-05T20:04:44.551+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:04:58.374+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:05:03.130+11:00,ID819,address,addB886,Web,complete,copy,2019-03-05T20:05:04.168+11:00,paste,A,addB886,Excel,5,complete,2019-03-05T20:05:25.615+11:00,save,Excel,complete,saveFile,2019-03-05T20:05:28.116+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:05:30.550+11:00
494,Clients,Web,complete,clickButton,2019-03-05T20:05:43.902+11:00,clientID,ID1083,Web,complete,insertValue,2019-03-05T20:05:46.515+11:00,Web,complete,pressKey,2019-03-05T20:05:49.039+11:00,enter,update,ID1083,Web,complete,clickButton,2019-03-05T20:05:50.947+11:00,address,addA1468addB1390,Web,complete,insertValue,2019-03-05T20:05:54.288+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:06:02.191+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:06:05.222+11:00,ID1083,address,addB1390,Web,complete,copy,2019-03-05T20:06:13.017+11:00,paste,A,addB1390,Excel,5,complete,2019-03-05T20:06:22.117+11:00,save,Excel,complete,saveFile,2019-03-05T20:06:25.756+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:06:28.795+11:00
495,Clients,Web,complete,clickButton,2019-03-05T20:06:40.805+11:00,clientID,ID1668,Web,complete,insertValue,2019-03-05T20:06:42.949+11:00,Web,complete,pressKey,2019-03-05T20:06:48.284+11:00,enter,update,ID1668,Web,complete,clickButton,2019-03-05T20:06:48.284+11:00,address,addA410addB298,Web,complete,insertValue,2019-03-05T20:06:50.156+11:00,Country22,country,Web,complete,insertValue,2019-03-05T20:06:55.590+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:07:01.436+11:00,OK,Web,complete,clickButton,2019-03-05T20:07:04.299+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:07:06.752+11:00,,,,,,,,,,,,,,,
496,Clients,Web,complete,clickButton,2019-03-05T20:07:19.807+11:00,clientID,ID1370,Web,complete,insertValue,2019-03-05T20:07:24.403+11:00,Web,complete,pressKey,2019-03-05T20:07:30.229+11:00,enter,update,ID1370,Web,complete,clickButton,2019-03-05T20:07:33.057+11:00,address,addA562addB316,Web,complete,insertValue,2019-03-05T20:07:36.017+11:00,Country184,country,Web,complete,insertValue,2019-03-05T20:07:48.670+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:07:58.611+11:00,OK,Web,complete,clickButton,2019-03-05T20:08:01.192+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:08:04.002+11:00,,,,,,,,,,,,,,,
497,Clients,Web,complete,clickButton,2019-03-05T20:08:16.805+11:00,clientID,ID1137,Web,complete,insertValue,2019-03-05T20:08:18.845+11:00,Web,complete,pressKey,2019-03-05T20:08:24.171+11:00,enter,update,ID1137,Web,complete,clickButton,2019-03-05T20:08:26.781+11:00,address,addA1953addB1707,Web,complete,insertValue,2019-03-05T20:08:31.882+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:08:33.384+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:08:38.674+11:00,ID1137,address,addB1707,Web,complete,copy,2019-03-05T20:08:43.731+11:00,paste,A,addB1707,Excel,5,complete,2019-03-05T20:08:54.614+11:00,save,Excel,complete,saveFile,2019-03-05T20:08:56.794+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:08:59.114+11:00
498,Clients,Web,complete,clickButton,2019-03-05T20:09:13.323+11:00,clientID,ID636,Web,complete,insertValue,2019-03-05T20:09:16.930+11:00,Web,complete,pressKey,2019-03-05T20:09:30.225+11:00,enter,update,ID636,Web,complete,clickButton,2019-03-05T20:09:34.398+11:00,address,addA1543addB1598,Web,complete,insertValue,2019-03-05T20:09:37.115+11:00,Country133,country,Web,complete,insertValue,2019-03-05T20:09:40.474+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:09:47.300+11:00,OK,Web,complete,clickButton,2019-03-05T20:09:50.957+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:09:52.728+11:00,,,,,,,,,,,,,,,
499,Clients,Web,complete,clickButton,2019-03-05T20:10:06.088+11:00,clientID,ID909,Web,complete,insertValue,2019-03-05T20:10:08.331+11:00,Web,complete,pressKey,2019-03-05T20:10:24.813+11:00,enter,update,ID909,Web,complete,clickButton,2019-03-05T20:10:27.692+11:00,address,addA381addB944,Web,complete,insertValue,2019-03-05T20:10:31.621+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:10:39.506+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:10:48.708+11:00,ID909,address,addB944,Web,complete,copy,2019-03-05T20:10:58.259+11:00,paste,A,addB944,Excel,5,complete,2019-03-05T20:11:08.234+11:00,save,Excel,complete,saveFile,2019-03-05T20:11:11.388+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:11:13.398+11:00
500,Clients,Web,complete,clickButton,2019-03-05T20:11:26.492+11:00,clientID,ID694,Web,complete,insertValue,2019-03-05T20:11:29.764+11:00,Web,complete,pressKey,2019-03-05T20:11:39.936+11:00,enter,update,ID694,Web,complete,clickButton,2019-03-05T20:11:43.158+11:00,address,addA1826addB517,Web,complete,insertValue,2019-03-05T20:11:48.136+11:00,Country135,country,Web,complete,insertValue,2019-03-05T20:11:51.805+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:11:54.571+11:00,OK,Web,complete,clickButton,2019-03-05T20:11:58.140+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:12:02.814+11:00,,,,,,,,,,,,,,,
501,Clients,Web,complete,clickButton,2019-03-05T20:12:15.231+11:00,clientID,ID73,Web,complete,insertValue,2019-03-05T20:12:18.718+11:00,Web,complete,pressKey,2019-03-05T20:12:23.697+11:00,enter,update,ID73,Web,complete,clickButton,2019-03-05T20:12:26.891+11:00,address,addA61addB1644,Web,complete,insertValue,2019-03-05T20:12:28.968+11:00,Country36,country,Web,complete,insertValue,2019-03-05T20:12:28.968+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:12:38.811+11:00,OK,Web,complete,clickButton,2019-03-05T20:12:41.649+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:12:43.261+11:00,,,,,,,,,,,,,,,
502,Clients,Web,complete,clickButton,2019-03-05T20:12:56.781+11:00,clientID,ID882,Web,complete,insertValue,2019-03-05T20:12:58.237+11:00,Web,complete,pressKey,2019-03-05T20:13:15.058+11:00,enter,update,ID882,Web,complete,clickButton,2019-03-05T20:13:17.575+11:00,address,addA983addB347,Web,complete,insertValue,2019-03-05T20:13:21.094+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:13:26.326+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:13:28.267+11:00,ID882,address,addB347,Web,complete,copy,2019-03-05T20:13:36.308+11:00,paste,A,addB347,Excel,5,complete,2019-03-05T20:13:48.504+11:00,save,Excel,complete,saveFile,2019-03-05T20:13:51.513+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:13:53.654+11:00
503,Clients,Web,complete,clickButton,2019-03-05T20:14:06.580+11:00,clientID,ID550,Web,complete,insertValue,2019-03-05T20:14:10.143+11:00,Web,complete,pressKey,2019-03-05T20:14:24.265+11:00,enter,update,ID550,Web,complete,clickButton,2019-03-05T20:14:29.054+11:00,address,addA246addB865,Web,complete,insertValue,2019-03-05T20:14:31.939+11:00,Country152,country,Web,complete,insertValue,2019-03-05T20:14:38.503+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:14:44.082+11:00,OK,Web,complete,clickButton,2019-03-05T20:14:47.421+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:14:50.458+11:00,,,,,,,,,,,,,,,
504,Clients,Web,complete,clickButton,2019-03-05T20:15:04.203+11:00,clientID,ID1828,Web,complete,insertValue,2019-03-05T20:15:07.081+11:00,Web,complete,pressKey,2019-03-05T20:15:16.471+11:00,enter,update,ID1828,Web,complete,clickButton,2019-03-05T20:15:20.153+11:00,address,addA1526addB36,Web,complete,insertValue,2019-03-05T20:15:23.105+11:00,Country60,country,Web,complete,insertValue,2019-03-05T20:15:35.146+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:15:37.127+11:00,OK,Web,complete,clickButton,2019-03-05T20:15:39.910+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:15:43.018+11:00,,,,,,,,,,,,,,,
505,Clients,Web,complete,clickButton,2019-03-05T20:15:56.176+11:00,clientID,ID967,Web,complete,insertValue,2019-03-05T20:15:58.700+11:00,Web,complete,pressKey,2019-03-05T20:16:06.991+11:00,enter,update,ID967,Web,complete,clickButton,2019-03-05T20:16:10.174+11:00,address,addA1747addB431,Web,complete,insertValue,2019-03-05T20:16:14.717+11:00,Country13,country,Web,complete,insertValue,2019-03-05T20:16:23.553+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:16:37.088+11:00,OK,Web,complete,clickButton,2019-03-05T20:16:40.016+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:16:42.766+11:00,,,,,,,,,,,,,,,
506,Clients,Web,complete,clickButton,2019-03-05T20:16:55.517+11:00,clientID,ID1280,Web,complete,insertValue,2019-03-05T20:16:57.119+11:00,Web,complete,pressKey,2019-03-05T20:17:08.025+11:00,enter,update,ID1280,Web,complete,clickButton,2019-03-05T20:17:10.463+11:00,address,addA1610addB698,Web,complete,insertValue,2019-03-05T20:17:12.271+11:00,Country94,country,Web,complete,insertValue,2019-03-05T20:17:23.797+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:17:34.389+11:00,OK,Web,complete,clickButton,2019-03-05T20:17:35.478+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:17:39.691+11:00,,,,,,,,,,,,,,,
507,Clients,Web,complete,clickButton,2019-03-05T20:17:52.725+11:00,clientID,ID136,Web,complete,insertValue,2019-03-05T20:17:57.087+11:00,Web,complete,pressKey,2019-03-05T20:18:16.313+11:00,enter,update,ID136,Web,complete,clickButton,2019-03-05T20:18:18.484+11:00,address,addA1112addB524,Web,complete,insertValue,2019-03-05T20:18:22.121+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:18:39.769+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:18:41.555+11:00,ID136,address,addB524,Web,complete,copy,2019-03-05T20:18:42.282+11:00,paste,A,addB524,Excel,5,complete,2019-03-05T20:18:51.408+11:00,save,Excel,complete,saveFile,2019-03-05T20:18:54.161+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:18:56.927+11:00
508,Clients,Web,complete,clickButton,2019-03-05T20:19:09.083+11:00,clientID,ID1411,Web,complete,insertValue,2019-03-05T20:19:12.310+11:00,Web,complete,pressKey,2019-03-05T20:19:15.265+11:00,enter,update,ID1411,Web,complete,clickButton,2019-03-05T20:19:19.245+11:00,address,addA371addB1281,Web,complete,insertValue,2019-03-05T20:19:23.012+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:19:31.841+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:19:39.211+11:00,ID1411,address,addB1281,Web,complete,copy,2019-03-05T20:19:48.509+11:00,paste,A,addB1281,Excel,5,complete,2019-03-05T20:19:50.319+11:00,save,Excel,complete,saveFile,2019-03-05T20:19:51.803+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:19:54.620+11:00
509,Clients,Web,complete,clickButton,2019-03-05T20:20:07.689+11:00,clientID,ID108,Web,complete,insertValue,2019-03-05T20:20:11.258+11:00,Web,complete,pressKey,2019-03-05T20:20:21.833+11:00,enter,update,ID108,Web,complete,clickButton,2019-03-05T20:20:22.824+11:00,address,addA1122addB1739,Web,complete,insertValue,2019-03-05T20:20:26.800+11:00,Country28,country,Web,complete,insertValue,2019-03-05T20:20:32.885+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:20:40.601+11:00,OK,Web,complete,clickButton,2019-03-05T20:20:43.485+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:20:47.416+11:00,,,,,,,,,,,,,,,
510,Clients,Web,complete,clickButton,2019-03-05T20:21:01.807+11:00,clientID,ID118,Web,complete,insertValue,2019-03-05T20:21:04.445+11:00,Web,complete,pressKey,2019-03-05T20:21:11.353+11:00,enter,update,ID118,Web,complete,clickButton,2019-03-05T20:21:16.320+11:00,address,addA1696addB875,Web,complete,insertValue,2019-03-05T20:21:18.811+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:21:27.909+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:21:40.834+11:00,ID118,address,addB875,Web,complete,copy,2019-03-05T20:21:42.127+11:00,paste,A,addB875,Excel,5,complete,2019-03-05T20:21:57.935+11:00,save,Excel,complete,saveFile,2019-03-05T20:21:59.417+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:22:02.571+11:00
511,Clients,Web,complete,clickButton,2019-03-05T20:22:16.348+11:00,clientID,ID1299,Web,complete,insertValue,2019-03-05T20:22:20.968+11:00,Web,complete,pressKey,2019-03-05T20:22:31.201+11:00,enter,update,ID1299,Web,complete,clickButton,2019-03-05T20:22:33.658+11:00,address,addA27addB637,Web,complete,insertValue,2019-03-05T20:22:37.553+11:00,Country70,country,Web,complete,insertValue,2019-03-05T20:22:49.942+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:23:01.187+11:00,OK,Web,complete,clickButton,2019-03-05T20:23:04.940+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:23:07.895+11:00,,,,,,,,,,,,,,,
512,Clients,Web,complete,clickButton,2019-03-05T20:23:23.586+11:00,clientID,ID1024,Web,complete,insertValue,2019-03-05T20:23:25.954+11:00,Web,complete,pressKey,2019-03-05T20:23:30.274+11:00,enter,update,ID1024,Web,complete,clickButton,2019-03-05T20:23:32.732+11:00,address,addA1683addB1376,Web,complete,insertValue,2019-03-05T20:23:35.473+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:23:35.473+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:23:46.425+11:00,ID1024,address,addB1376,Web,complete,copy,2019-03-05T20:23:50.429+11:00,paste,A,addB1376,Excel,5,complete,2019-03-05T20:24:01.361+11:00,save,Excel,complete,saveFile,2019-03-05T20:24:04.872+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:24:08.406+11:00
513,Clients,Web,complete,clickButton,2019-03-05T20:24:20.582+11:00,clientID,ID741,Web,complete,insertValue,2019-03-05T20:24:24.067+11:00,Web,complete,pressKey,2019-03-05T20:24:29.698+11:00,enter,update,ID741,Web,complete,clickButton,2019-03-05T20:24:32.682+11:00,address,addA1028addB72,Web,complete,insertValue,2019-03-05T20:24:35.978+11:00,Country14,country,Web,complete,insertValue,2019-03-05T20:24:49.997+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:25:04.413+11:00,OK,Web,complete,clickButton,2019-03-05T20:25:06.261+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:25:10.438+11:00,,,,,,,,,,,,,,,
514,Clients,Web,complete,clickButton,2019-03-05T20:25:22.911+11:00,clientID,ID1687,Web,complete,insertValue,2019-03-05T20:25:27.946+11:00,Web,complete,pressKey,2019-03-05T20:25:38.548+11:00,enter,update,ID1687,Web,complete,clickButton,2019-03-05T20:25:39.716+11:00,address,addA1258addB576,Web,complete,insertValue,2019-03-05T20:25:41.566+11:00,Country118,country,Web,complete,insertValue,2019-03-05T20:25:49.697+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:25:53.798+11:00,OK,Web,complete,clickButton,2019-03-05T20:25:56.397+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:25:59.465+11:00,,,,,,,,,,,,,,,
515,Clients,Web,complete,clickButton,2019-03-05T20:26:12.048+11:00,clientID,ID889,Web,complete,insertValue,2019-03-05T20:26:13.148+11:00,Web,complete,pressKey,2019-03-05T20:26:16.950+11:00,enter,update,ID889,Web,complete,clickButton,2019-03-05T20:26:17.718+11:00,address,addA1836addB1479,Web,complete,insertValue,2019-03-05T20:26:20.339+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:26:23.959+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:26:37.939+11:00,ID889,address,addB1479,Web,complete,copy,2019-03-05T20:26:37.939+11:00,paste,A,addB1479,Excel,5,complete,2019-03-05T20:26:54.606+11:00,save,Excel,complete,saveFile,2019-03-05T20:26:57.995+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:27:01.082+11:00
516,Clients,Web,complete,clickButton,2019-03-05T20:27:15.197+11:00,clientID,ID258,Web,complete,insertValue,2019-03-05T20:27:17.269+11:00,Web,complete,pressKey,2019-03-05T20:27:26.721+11:00,enter,update,ID258,Web,complete,clickButton,2019-03-05T20:27:30.744+11:00,address,addA540addB832,Web,complete,insertValue,2019-03-05T20:27:34.650+11:00,Country142,country,Web,complete,insertValue,2019-03-05T20:27:42.362+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:27:49.277+11:00,OK,Web,complete,clickButton,2019-03-05T20:27:53.218+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:27:56.459+11:00,,,,,,,,,,,,,,,
517,Clients,Web,complete,clickButton,2019-03-05T20:28:11.004+11:00,clientID,ID1125,Web,complete,insertValue,2019-03-05T20:28:14.523+11:00,Web,complete,pressKey,2019-03-05T20:28:15.883+11:00,enter,update,ID1125,Web,complete,clickButton,2019-03-05T20:28:19.306+11:00,address,addA1033addB549,Web,complete,insertValue,2019-03-05T20:28:24.396+11:00,Country190,country,Web,complete,insertValue,2019-03-05T20:28:29.965+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:28:35.242+11:00,OK,Web,complete,clickButton,2019-03-05T20:28:38.473+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:28:40.958+11:00,,,,,,,,,,,,,,,
518,Clients,Web,complete,clickButton,2019-03-05T20:28:52.407+11:00,clientID,ID1227,Web,complete,insertValue,2019-03-05T20:28:55.252+11:00,Web,complete,pressKey,2019-03-05T20:29:06.480+11:00,enter,update,ID1227,Web,complete,clickButton,2019-03-05T20:29:09.279+11:00,address,addA136addB1201,Web,complete,insertValue,2019-03-05T20:29:13.195+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:29:18.486+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:29:34.464+11:00,ID1227,address,addB1201,Web,complete,copy,2019-03-05T20:29:42.062+11:00,paste,A,addB1201,Excel,5,complete,2019-03-05T20:29:52.129+11:00,save,Excel,complete,saveFile,2019-03-05T20:29:53.412+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:29:55.991+11:00
519,Clients,Web,complete,clickButton,2019-03-05T20:30:09.383+11:00,clientID,ID335,Web,complete,insertValue,2019-03-05T20:30:13.843+11:00,Web,complete,pressKey,2019-03-05T20:30:21.762+11:00,enter,update,ID335,Web,complete,clickButton,2019-03-05T20:30:25.154+11:00,address,addA905addB407,Web,complete,insertValue,2019-03-05T20:30:30.401+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:30:33.044+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:30:44.546+11:00,ID335,address,addB407,Web,complete,copy,2019-03-05T20:30:52.875+11:00,paste,A,addB407,Excel,5,complete,2019-03-05T20:31:01.829+11:00,save,Excel,complete,saveFile,2019-03-05T20:31:04.284+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:31:08.145+11:00
520,Clients,Web,complete,clickButton,2019-03-05T20:31:20.611+11:00,clientID,ID1716,Web,complete,insertValue,2019-03-05T20:31:22.939+11:00,Web,complete,pressKey,2019-03-05T20:31:29.503+11:00,enter,update,ID1716,Web,complete,clickButton,2019-03-05T20:31:32.069+11:00,address,addA975addB1433,Web,complete,insertValue,2019-03-05T20:31:34.617+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:31:36.887+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:31:42.335+11:00,ID1716,address,addB1433,Web,complete,copy,2019-03-05T20:31:51.534+11:00,paste,A,addB1433,Excel,5,complete,2019-03-05T20:31:53.342+11:00,save,Excel,complete,saveFile,2019-03-05T20:31:56.654+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:31:58.217+11:00
521,Clients,Web,complete,clickButton,2019-03-05T20:32:11.491+11:00,clientID,ID841,Web,complete,insertValue,2019-03-05T20:32:13.717+11:00,Web,complete,pressKey,2019-03-05T20:32:20.370+11:00,enter,update,ID841,Web,complete,clickButton,2019-03-05T20:32:24.310+11:00,address,addA219addB564,Web,complete,insertValue,2019-03-05T20:32:25.744+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:32:26.554+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:32:35.143+11:00,ID841,address,addB564,Web,complete,copy,2019-03-05T20:32:35.143+11:00,paste,A,addB564,Excel,5,complete,2019-03-05T20:32:52.648+11:00,save,Excel,complete,saveFile,2019-03-05T20:32:57.607+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:32:59.631+11:00
522,Clients,Web,complete,clickButton,2019-03-05T20:33:14.356+11:00,clientID,ID1613,Web,complete,insertValue,2019-03-05T20:33:15.738+11:00,Web,complete,pressKey,2019-03-05T20:33:38.138+11:00,enter,update,ID1613,Web,complete,clickButton,2019-03-05T20:33:41.761+11:00,address,addA1252addB1933,Web,complete,insertValue,2019-03-05T20:33:42.986+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:33:54.118+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:34:01.395+11:00,ID1613,address,addB1933,Web,complete,copy,2019-03-05T20:34:01.395+11:00,paste,A,addB1933,Excel,5,complete,2019-03-05T20:34:09.142+11:00,save,Excel,complete,saveFile,2019-03-05T20:34:13.629+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:34:16.224+11:00
523,Clients,Web,complete,clickButton,2019-03-05T20:34:29.398+11:00,clientID,ID594,Web,complete,insertValue,2019-03-05T20:34:32.563+11:00,Web,complete,pressKey,2019-03-05T20:34:38.065+11:00,enter,update,ID594,Web,complete,clickButton,2019-03-05T20:34:41.593+11:00,address,addA622addB914,Web,complete,insertValue,2019-03-05T20:34:45.189+11:00,Australia,country,Web,complete,insertValue,2019-03-05T20:34:56.882+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T20:35:08.433+11:00,ID594,address,addB914,Web,complete,copy,2019-03-05T20:35:10.882+11:00,paste,A,addB914,Excel,5,complete,2019-03-05T20:35:15.783+11:00,save,Excel,complete,saveFile,2019-03-05T20:35:20.045+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T20:35:23.090+11:00
524,Clients,Web,complete,clickButton,2019-03-05T20:35:35.962+11:00,clientID,ID1843,Web,complete,insertValue,2019-03-05T20:35:40.360+11:00,Web,complete,pressKey,2019-03-05T20:35:48.404+11:00,enter,update,ID1843,Web,complete,clickButton,2019-03-05T20:35:49.657+11:00,address,addA480addB1719,Web,complete,insertValue,2019-03-05T20:35:51.459+11:00,Country160,country,Web,complete,insertValue,2019-03-05T20:36:01.306+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T20:36:08.237+11:00,OK,Web,complete,clickButton,2019-03-05T20:36:11.870+11:00,Confirm,Web,complete,clickButton,2019-03-05T20:36:15.156+11:00,,,,,,,,,,,,,,,
