Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
553,value1,value311,Web,complete,insertValue,2019-03-05T18:59:34.023+11:00,code,19,Web,complete,insertValue,2019-03-05T18:59:42.110+11:00,B7,Web,complete,clickButton,2019-03-05T18:59:52.183+11:00,open,Web,complete,clickButton,2019-03-05T18:59:55.314+11:00,code,19,Web,complete,copy,2019-03-05T18:59:58.982+11:00,paste,B,name,19,Excel,241,complete,2019-03-05T19:00:01.836+11:00,add,Web,complete,clickButton,2019-03-05T19:00:05.042+11:00,OK,Web,complete,clickButton,2019-03-05T19:00:07.465+11:00,,
554,value1,value1315,Web,complete,insertValue,2019-03-05T19:00:17.465+11:00,code,20,Web,complete,insertValue,2019-03-05T19:00:24.937+11:00,B7,Web,complete,clickButton,2019-03-05T19:00:39.435+11:00,open,Web,complete,clickButton,2019-03-05T19:00:41.289+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:00:44.171+11:00,data123.xls,name1784,Excel,complete,findValue,FALSE,2019-03-05T19:00:47.847+11:00,cancel,Web,complete,clickButton,2019-03-05T19:00:49.723+11:00,OK,Web,complete,clickButton,2019-03-05T19:00:54.596+11:00,,,,
555,value1,value530,Web,complete,insertValue,2019-03-05T19:01:04.596+11:00,code,24,Web,complete,insertValue,2019-03-05T19:01:13.403+11:00,B7,Web,complete,clickButton,2019-03-05T19:01:15.680+11:00,Web,complete,goToUrl,2019-03-05T19:01:18.938+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:01:29.813+11:00,code,24,Web,complete,copy,2019-03-05T19:01:33.836+11:00,paste,B,name,24,Excel,351,complete,2019-03-05T19:01:36.450+11:00,cancel,Web,complete,clickButton,2019-03-05T19:01:38.480+11:00,OK,Web
556,value1,value1044,Web,complete,insertValue,2019-03-05T19:01:53.125+11:00,code,36,Web,complete,insertValue,2019-03-05T19:01:57.695+11:00,B6,Web,complete,clickButton,2019-03-05T19:02:09.797+11:00,Web,complete,goToUrl,2019-03-05T19:02:13.131+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:02:16.548+11:00,code,36,Web,complete,copy,2019-03-05T19:02:18.301+11:00,paste,B,name,36,Excel,1647,complete,2019-03-05T19:02:21.491+11:00,Web,complete,goToUrl,2019-03-05T19:02:23.948+11:00,www.webpage.com,OK,Web
557,value1,value1818,Web,complete,insertValue,2019-03-05T19:02:45.805+11:00,code,21,Web,complete,insertValue,2019-03-05T19:02:54.953+11:00,B7,Web,complete,clickButton,2019-03-05T19:02:59.199+11:00,open,Web,complete,clickButton,2019-03-05T19:03:01.576+11:00,code,21,Web,complete,copy,2019-03-05T19:03:04.686+11:00,paste,B,name,21,Excel,1174,complete,2019-03-05T19:03:05.819+11:00,add,Web,complete,clickButton,2019-03-05T19:03:10.108+11:00,OK,Web,complete,clickButton,2019-03-05T19:03:13.188+11:00,,
558,value1,value1441,Web,complete,insertValue,2019-03-05T19:03:23.188+11:00,code,27,Web,complete,insertValue,2019-03-05T19:03:41.503+11:00,B7,Web,complete,clickButton,2019-03-05T19:03:48.598+11:00,Web,complete,goToUrl,2019-03-05T19:03:52.490+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:04:05.410+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:04:08.339+11:00,data123.xls,name85,Excel,complete,findValue,FALSE,2019-03-05T19:04:13.563+11:00,Web,complete,goToUrl,2019-03-05T19:04:14.305+11:00,www.webpage.com,OK,Web,complete,clickButton
559,value1,value1061,Web,complete,insertValue,2019-03-05T19:04:24.808+11:00,code,26,Web,complete,insertValue,2019-03-05T19:04:41.655+11:00,B6,Web,complete,clickButton,2019-03-05T19:04:56.393+11:00,open,Web,complete,clickButton,2019-03-05T19:04:58.601+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:05:02.789+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T19:05:05.758+11:00,paste,B,name,26,Excel,424,complete,2019-03-05T19:05:07.747+11:00,Web,complete,goToUrl,2019-03-05T19:05:10.735+11:00,www.webpage.com,OK
560,value1,value1625,Web,complete,insertValue,2019-03-05T19:05:26.719+11:00,code,29,Web,complete,insertValue,2019-03-05T19:05:26.719+11:00,B6,Web,complete,clickButton,2019-03-05T19:05:28.773+11:00,Web,complete,goToUrl,2019-03-05T19:05:32.522+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:05:39.795+11:00,code,29,Web,complete,copy,2019-03-05T19:05:44.083+11:00,paste,B,name,29,Excel,623,complete,2019-03-05T19:05:46.762+11:00,add,Web,complete,clickButton,2019-03-05T19:05:49.215+11:00,OK,Web
561,value1,value314,Web,complete,insertValue,2019-03-05T19:06:01.019+11:00,code,26,Web,complete,insertValue,2019-03-05T19:06:14.674+11:00,B6,Web,complete,clickButton,2019-03-05T19:06:18.352+11:00,open,Web,complete,clickButton,2019-03-05T19:06:22.110+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:06:23.444+11:00,data123.xls,name316,Excel,complete,findValue,FALSE,2019-03-05T19:06:24.320+11:00,add,Web,complete,clickButton,2019-03-05T19:06:27.671+11:00,OK,Web,complete,clickButton,2019-03-05T19:06:32.797+11:00,,,,
562,value1,value496,Web,complete,insertValue,2019-03-05T19:06:42.797+11:00,code,25,Web,complete,insertValue,2019-03-05T19:06:51.186+11:00,B6,Web,complete,clickButton,2019-03-05T19:06:57.303+11:00,Web,complete,goToUrl,2019-03-05T19:07:00.746+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:07:15.678+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:07:20.384+11:00,data123.xls,code,25,Web,complete,copy,2019-03-05T19:07:21.648+11:00,paste,B,name,25,Excel,341,complete,2019-03-05T19:07:23.536+11:00,add
563,value1,value1293,Web,complete,insertValue,2019-03-05T19:07:39.259+11:00,code,27,Web,complete,insertValue,2019-03-05T19:07:48.556+11:00,B6,Web,complete,clickButton,2019-03-05T19:07:53.553+11:00,Web,complete,goToUrl,2019-03-05T19:07:57.961+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:08:03.632+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:08:06.399+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T19:08:08.791+11:00,paste,B,name,27,Excel,380,complete,2019-03-05T19:08:12.430+11:00,add
564,value1,value1620,Web,complete,insertValue,2019-03-05T19:08:26.060+11:00,code,44,Web,complete,insertValue,2019-03-05T19:08:38.495+11:00,B6,Web,complete,clickButton,2019-03-05T19:08:49.563+11:00,open,Web,complete,clickButton,2019-03-05T19:08:52.337+11:00,code,44,Web,complete,copy,2019-03-05T19:08:54.745+11:00,paste,B,name,44,Excel,1454,complete,2019-03-05T19:08:57.601+11:00,add,Web,complete,clickButton,2019-03-05T19:09:00.510+11:00,OK,Web,complete,clickButton,2019-03-05T19:09:03.962+11:00,,
565,value1,value1098,Web,complete,insertValue,2019-03-05T19:09:13.962+11:00,code,20,Web,complete,insertValue,2019-03-05T19:09:21.145+11:00,B6,Web,complete,clickButton,2019-03-05T19:09:36.258+11:00,open,Web,complete,clickButton,2019-03-05T19:09:39.755+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:09:42.361+11:00,data123.xls,name523,Excel,complete,findValue,FALSE,2019-03-05T19:09:45.496+11:00,Web,complete,goToUrl,2019-03-05T19:09:48.803+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T19:09:48.803+11:00,,,,
566,value1,value426,Web,complete,insertValue,2019-03-05T19:09:58.803+11:00,code,23,Web,complete,insertValue,2019-03-05T19:10:05.209+11:00,B6,Web,complete,clickButton,2019-03-05T19:10:12.539+11:00,open,Web,complete,clickButton,2019-03-05T19:10:15.242+11:00,code,23,Web,complete,copy,2019-03-05T19:10:18.852+11:00,paste,B,name,23,Excel,58,complete,2019-03-05T19:10:22.410+11:00,add,Web,complete,clickButton,2019-03-05T19:10:26.891+11:00,OK,Web,complete,clickButton,2019-03-05T19:10:30.675+11:00,,
567,value1,value897,Web,complete,insertValue,2019-03-05T19:10:40.675+11:00,code,21,Web,complete,insertValue,2019-03-05T19:10:47.911+11:00,B7,Web,complete,clickButton,2019-03-05T19:11:06.413+11:00,open,Web,complete,clickButton,2019-03-05T19:11:09.731+11:00,code,21,Web,complete,copy,2019-03-05T19:11:12.526+11:00,paste,B,name,21,Excel,1434,complete,2019-03-05T19:11:17.060+11:00,add,Web,complete,clickButton,2019-03-05T19:11:21.207+11:00,OK,Web,complete,clickButton,2019-03-05T19:11:24.584+11:00,,
568,value1,value1341,Web,complete,insertValue,2019-03-05T19:11:34.584+11:00,code,30,Web,complete,insertValue,2019-03-05T19:11:34.584+11:00,B6,Web,complete,clickButton,2019-03-05T19:11:48.598+11:00,Web,complete,goToUrl,2019-03-05T19:11:52.187+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:11:59.411+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:12:01.167+11:00,data123.xls,name23,Excel,complete,findValue,TRUE,2019-03-05T19:12:04.449+11:00,Web,complete,goToUrl,2019-03-05T19:12:07.866+11:00,www.webpage.com,OK,Web,complete,clickButton
569,value1,value402,Web,complete,insertValue,2019-03-05T19:12:25.037+11:00,code,19,Web,complete,insertValue,2019-03-05T19:12:25.037+11:00,B6,Web,complete,clickButton,2019-03-05T19:12:29.521+11:00,open,Web,complete,clickButton,2019-03-05T19:12:30.934+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:12:34.746+11:00,data123.xls,name1880,Excel,complete,findValue,TRUE,2019-03-05T19:12:37.238+11:00,add,Web,complete,clickButton,2019-03-05T19:12:40.214+11:00,OK,Web,complete,clickButton,2019-03-05T19:12:42.493+11:00,,,,
570,value1,value907,Web,complete,insertValue,2019-03-05T19:12:52.493+11:00,code,18,Web,complete,insertValue,2019-03-05T19:13:04.807+11:00,B6,Web,complete,clickButton,2019-03-05T19:13:15.200+11:00,Web,complete,goToUrl,2019-03-05T19:13:17.604+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:13:20.371+11:00,code,18,Web,complete,copy,2019-03-05T19:13:22.241+11:00,paste,B,name,18,Excel,381,complete,2019-03-05T19:13:25.123+11:00,Web,complete,goToUrl,2019-03-05T19:13:29.671+11:00,www.webpage.com,OK,Web
571,value1,value36,Web,complete,insertValue,2019-03-05T19:13:49.909+11:00,code,19,Web,complete,insertValue,2019-03-05T19:14:03.427+11:00,B7,Web,complete,clickButton,2019-03-05T19:14:07.840+11:00,open,Web,complete,clickButton,2019-03-05T19:14:12.426+11:00,code,19,Web,complete,copy,2019-03-05T19:14:16.226+11:00,paste,B,name,19,Excel,230,complete,2019-03-05T19:14:19.301+11:00,add,Web,complete,clickButton,2019-03-05T19:14:22.457+11:00,OK,Web,complete,clickButton,2019-03-05T19:14:24.216+11:00,,
572,value1,value1822,Web,complete,insertValue,2019-03-05T19:14:34.216+11:00,code,38,Web,complete,insertValue,2019-03-05T19:14:47.054+11:00,B7,Web,complete,clickButton,2019-03-05T19:15:02.491+11:00,Web,complete,goToUrl,2019-03-05T19:15:04.787+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:15:11.583+11:00,code,38,Web,complete,copy,2019-03-05T19:15:15.389+11:00,paste,B,name,38,Excel,977,complete,2019-03-05T19:15:17.743+11:00,Web,complete,goToUrl,2019-03-05T19:15:19.104+11:00,www.webpage.com,OK,Web
573,value1,value1351,Web,complete,insertValue,2019-03-05T19:15:41.823+11:00,code,23,Web,complete,insertValue,2019-03-05T19:15:57.327+11:00,B7,Web,complete,clickButton,2019-03-05T19:16:09.466+11:00,Web,complete,goToUrl,2019-03-05T19:16:14.035+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:16:21.983+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:16:25.708+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T19:16:30.175+11:00,paste,B,name,23,Excel,1134,complete,2019-03-05T19:16:33.099+11:00,cancel
574,value1,value1924,Web,complete,insertValue,2019-03-05T19:16:48.335+11:00,code,18,Web,complete,insertValue,2019-03-05T19:16:51.267+11:00,B7,Web,complete,clickButton,2019-03-05T19:16:58.196+11:00,Web,complete,goToUrl,2019-03-05T19:17:02.089+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:17:14.978+11:00,code,18,Web,complete,copy,2019-03-05T19:17:16.836+11:00,paste,B,name,18,Excel,221,complete,2019-03-05T19:17:19.780+11:00,cancel,Web,complete,clickButton,2019-03-05T19:17:21.090+11:00,OK,Web
575,value1,value202,Web,complete,insertValue,2019-03-05T19:17:34.927+11:00,code,25,Web,complete,insertValue,2019-03-05T19:17:41.282+11:00,B6,Web,complete,clickButton,2019-03-05T19:17:55.178+11:00,Web,complete,goToUrl,2019-03-05T19:17:58.411+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:18:02.520+11:00,code,25,Web,complete,copy,2019-03-05T19:18:05.566+11:00,paste,B,name,25,Excel,112,complete,2019-03-05T19:18:08.963+11:00,add,Web,complete,clickButton,2019-03-05T19:18:12.817+11:00,OK,Web
576,value1,value40,Web,complete,insertValue,2019-03-05T19:18:26.630+11:00,code,19,Web,complete,insertValue,2019-03-05T19:18:32.387+11:00,B6,Web,complete,clickButton,2019-03-05T19:18:44.332+11:00,Web,complete,goToUrl,2019-03-05T19:18:48.623+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:19:04.801+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:19:06.137+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T19:19:08.620+11:00,paste,B,name,19,Excel,301,complete,2019-03-05T19:19:11.494+11:00,cancel
577,value1,value628,Web,complete,insertValue,2019-03-05T19:19:27.759+11:00,code,26,Web,complete,insertValue,2019-03-05T19:19:38.323+11:00,B7,Web,complete,clickButton,2019-03-05T19:19:50.090+11:00,open,Web,complete,clickButton,2019-03-05T19:19:54.356+11:00,code,26,Web,complete,copy,2019-03-05T19:19:56.867+11:00,paste,B,name,26,Excel,273,complete,2019-03-05T19:20:00.741+11:00,cancel,Web,complete,clickButton,2019-03-05T19:20:03.367+11:00,OK,Web,complete,clickButton,2019-03-05T19:20:05.316+11:00,,
578,value1,value17,Web,complete,insertValue,2019-03-05T19:20:15.316+11:00,code,29,Web,complete,insertValue,2019-03-05T19:20:20.528+11:00,B7,Web,complete,clickButton,2019-03-05T19:20:28.633+11:00,Web,complete,goToUrl,2019-03-05T19:20:32.034+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:20:35.020+11:00,code,29,Web,complete,copy,2019-03-05T19:20:38.037+11:00,paste,B,name,29,Excel,1810,complete,2019-03-05T19:20:41.166+11:00,add,Web,complete,clickButton,2019-03-05T19:20:44.885+11:00,OK,Web
579,value1,value716,Web,complete,insertValue,2019-03-05T19:20:58.458+11:00,code,20,Web,complete,insertValue,2019-03-05T19:21:11.245+11:00,B7,Web,complete,clickButton,2019-03-05T19:21:17.321+11:00,Web,complete,goToUrl,2019-03-05T19:21:22.058+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:21:22.381+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:21:26.354+11:00,data123.xls,code,20,Web,complete,copy,2019-03-05T19:21:29.982+11:00,paste,B,name,20,Excel,865,complete,2019-03-05T19:21:33.661+11:00,cancel
580,value1,value1948,Web,complete,insertValue,2019-03-05T19:21:47.809+11:00,code,18,Web,complete,insertValue,2019-03-05T19:21:52.408+11:00,B6,Web,complete,clickButton,2019-03-05T19:22:02.036+11:00,open,Web,complete,clickButton,2019-03-05T19:22:07.559+11:00,code,18,Web,complete,copy,2019-03-05T19:22:10.079+11:00,paste,B,name,18,Excel,1463,complete,2019-03-05T19:22:15.299+11:00,cancel,Web,complete,clickButton,2019-03-05T19:22:18.419+11:00,OK,Web,complete,clickButton,2019-03-05T19:22:21.380+11:00,,
581,value1,value1065,Web,complete,insertValue,2019-03-05T19:22:31.380+11:00,code,22,Web,complete,insertValue,2019-03-05T19:22:31.898+11:00,B6,Web,complete,clickButton,2019-03-05T19:22:40.936+11:00,Web,complete,goToUrl,2019-03-05T19:22:45.168+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:23:05.667+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:23:07.053+11:00,data123.xls,name745,Excel,complete,findValue,FALSE,2019-03-05T19:23:11.544+11:00,add,Web,complete,clickButton,2019-03-05T19:23:15.112+11:00,OK,Web,complete,clickButton
582,value1,value973,Web,complete,insertValue,2019-03-05T19:23:29.259+11:00,code,34,Web,complete,insertValue,2019-03-05T19:23:35.845+11:00,B6,Web,complete,clickButton,2019-03-05T19:23:38.813+11:00,Web,complete,goToUrl,2019-03-05T19:23:42.605+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:23:56.325+11:00,code,34,Web,complete,copy,2019-03-05T19:23:57.839+11:00,paste,B,name,34,Excel,175,complete,2019-03-05T19:24:00.736+11:00,Web,complete,goToUrl,2019-03-05T19:24:04.387+11:00,www.webpage.com,OK,Web
583,value1,value930,Web,complete,insertValue,2019-03-05T19:24:30.146+11:00,code,22,Web,complete,insertValue,2019-03-05T19:24:32.701+11:00,B6,Web,complete,clickButton,2019-03-05T19:24:45.220+11:00,open,Web,complete,clickButton,2019-03-05T19:24:48.440+11:00,code,22,Web,complete,copy,2019-03-05T19:24:52.354+11:00,paste,B,name,22,Excel,489,complete,2019-03-05T19:24:56.930+11:00,add,Web,complete,clickButton,2019-03-05T19:25:00.802+11:00,OK,Web,complete,clickButton,2019-03-05T19:25:02.128+11:00,,
584,value1,value191,Web,complete,insertValue,2019-03-05T19:25:12.128+11:00,code,46,Web,complete,insertValue,2019-03-05T19:25:15.938+11:00,B6,Web,complete,clickButton,2019-03-05T19:25:27.509+11:00,Web,complete,goToUrl,2019-03-05T19:25:29.530+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:25:45.643+11:00,code,46,Web,complete,copy,2019-03-05T19:25:48.726+11:00,paste,B,name,46,Excel,83,complete,2019-03-05T19:25:52.999+11:00,cancel,Web,complete,clickButton,2019-03-05T19:25:55.020+11:00,OK,Web
585,value1,value1096,Web,complete,insertValue,2019-03-05T19:26:09.391+11:00,code,26,Web,complete,insertValue,2019-03-05T19:26:21.243+11:00,B6,Web,complete,clickButton,2019-03-05T19:26:30.250+11:00,Web,complete,goToUrl,2019-03-05T19:26:33.802+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:26:36.821+11:00,code,26,Web,complete,copy,2019-03-05T19:26:39.298+11:00,paste,B,name,26,Excel,998,complete,2019-03-05T19:26:41.815+11:00,add,Web,complete,clickButton,2019-03-05T19:26:46.572+11:00,OK,Web
586,value1,value70,Web,complete,insertValue,2019-03-05T19:26:59.480+11:00,code,30,Web,complete,insertValue,2019-03-05T19:27:06.878+11:00,B7,Web,complete,clickButton,2019-03-05T19:27:09.740+11:00,Web,complete,goToUrl,2019-03-05T19:27:14.210+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:27:24.139+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:27:28.143+11:00,data123.xls,code,30,Web,complete,copy,2019-03-05T19:27:30.521+11:00,paste,B,name,30,Excel,565,complete,2019-03-05T19:27:35.190+11:00,add
587,value1,value509,Web,complete,insertValue,2019-03-05T19:27:49.557+11:00,code,29,Web,complete,insertValue,2019-03-05T19:27:52.294+11:00,B7,Web,complete,clickButton,2019-03-05T19:27:56.413+11:00,Web,complete,goToUrl,2019-03-05T19:28:00.825+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:28:07.544+11:00,code,29,Web,complete,copy,2019-03-05T19:28:10.757+11:00,paste,B,name,29,Excel,485,complete,2019-03-05T19:28:12.731+11:00,Web,complete,goToUrl,2019-03-05T19:28:14.312+11:00,www.webpage.com,OK,Web
588,value1,value397,Web,complete,insertValue,2019-03-05T19:28:36.235+11:00,code,27,Web,complete,insertValue,2019-03-05T19:28:49.469+11:00,B6,Web,complete,clickButton,2019-03-05T19:28:53.543+11:00,Web,complete,goToUrl,2019-03-05T19:28:56.068+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:29:10.131+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:29:12.437+11:00,data123.xls,name392,Excel,complete,findValue,TRUE,2019-03-05T19:29:12.872+11:00,Web,complete,goToUrl,2019-03-05T19:29:15.806+11:00,www.webpage.com,OK,Web,complete,clickButton
589,value1,value612,Web,complete,insertValue,2019-03-05T19:29:36.665+11:00,code,26,Web,complete,insertValue,2019-03-05T19:29:51.760+11:00,B6,Web,complete,clickButton,2019-03-05T19:30:01.407+11:00,Web,complete,goToUrl,2019-03-05T19:30:04.870+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:30:13.510+11:00,code,26,Web,complete,copy,2019-03-05T19:30:16.054+11:00,paste,B,name,26,Excel,1056,complete,2019-03-05T19:30:18.465+11:00,add,Web,complete,clickButton,2019-03-05T19:30:22.773+11:00,OK,Web
590,value1,value149,Web,complete,insertValue,2019-03-05T19:30:35.020+11:00,code,28,Web,complete,insertValue,2019-03-05T19:30:50.213+11:00,B6,Web,complete,clickButton,2019-03-05T19:30:59.524+11:00,open,Web,complete,clickButton,2019-03-05T19:31:02.624+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:31:06.274+11:00,data123.xls,name948,Excel,complete,findValue,FALSE,2019-03-05T19:31:08.246+11:00,cancel,Web,complete,clickButton,2019-03-05T19:31:11.727+11:00,OK,Web,complete,clickButton,2019-03-05T19:31:14.129+11:00,,,,
591,value1,value1135,Web,complete,insertValue,2019-03-05T19:31:24.129+11:00,code,19,Web,complete,insertValue,2019-03-05T19:31:34.307+11:00,B7,Web,complete,clickButton,2019-03-05T19:31:36.402+11:00,Web,complete,goToUrl,2019-03-05T19:31:39.112+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:31:49.143+11:00,code,19,Web,complete,copy,2019-03-05T19:31:51.963+11:00,paste,B,name,19,Excel,600,complete,2019-03-05T19:31:53.779+11:00,cancel,Web,complete,clickButton,2019-03-05T19:31:55.564+11:00,OK,Web
592,value1,value925,Web,complete,insertValue,2019-03-05T19:32:07.343+11:00,code,26,Web,complete,insertValue,2019-03-05T19:32:16.458+11:00,B6,Web,complete,clickButton,2019-03-05T19:32:31.597+11:00,Web,complete,goToUrl,2019-03-05T19:32:34.299+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:32:34.299+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:32:38.240+11:00,data123.xls,name783,Excel,complete,findValue,FALSE,2019-03-05T19:32:41.770+11:00,cancel,Web,complete,clickButton,2019-03-05T19:32:43.788+11:00,OK,Web,complete,clickButton
593,value1,value486,Web,complete,insertValue,2019-03-05T19:32:57.669+11:00,code,26,Web,complete,insertValue,2019-03-05T19:32:58.641+11:00,B7,Web,complete,clickButton,2019-03-05T19:33:14.059+11:00,Web,complete,goToUrl,2019-03-05T19:33:14.709+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:33:30.243+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:33:32.651+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T19:33:34.765+11:00,paste,B,name,26,Excel,375,complete,2019-03-05T19:33:35.952+11:00,cancel
594,value1,value477,Web,complete,insertValue,2019-03-05T19:33:53.256+11:00,code,25,Web,complete,insertValue,2019-03-05T19:33:54.949+11:00,B6,Web,complete,clickButton,2019-03-05T19:34:10.098+11:00,open,Web,complete,clickButton,2019-03-05T19:34:11.298+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:34:13.949+11:00,data123.xls,code,25,Web,complete,copy,2019-03-05T19:34:17.809+11:00,paste,B,name,25,Excel,662,complete,2019-03-05T19:34:20.849+11:00,add,Web,complete,clickButton,2019-03-05T19:34:24.590+11:00,OK
595,value1,value276,Web,complete,insertValue,2019-03-05T19:34:37.886+11:00,code,34,Web,complete,insertValue,2019-03-05T19:34:44.325+11:00,B6,Web,complete,clickButton,2019-03-05T19:34:46.984+11:00,Web,complete,goToUrl,2019-03-05T19:34:50.247+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:34:56.266+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:35:01.063+11:00,data123.xls,code,34,Web,complete,copy,2019-03-05T19:35:04.884+11:00,paste,B,name,34,Excel,1833,complete,2019-03-05T19:35:08.551+11:00,cancel
596,value1,value670,Web,complete,insertValue,2019-03-05T19:35:24.634+11:00,code,20,Web,complete,insertValue,2019-03-05T19:35:31.638+11:00,B7,Web,complete,clickButton,2019-03-05T19:35:44.958+11:00,open,Web,complete,clickButton,2019-03-05T19:35:48.868+11:00,code,20,Web,complete,copy,2019-03-05T19:35:52.070+11:00,paste,B,name,20,Excel,392,complete,2019-03-05T19:35:54.259+11:00,cancel,Web,complete,clickButton,2019-03-05T19:35:57.833+11:00,OK,Web,complete,clickButton,2019-03-05T19:36:01.580+11:00,,
597,value1,value591,Web,complete,insertValue,2019-03-05T19:36:11.580+11:00,code,50,Web,complete,insertValue,2019-03-05T19:36:12.075+11:00,B6,Web,complete,clickButton,2019-03-05T19:36:23.506+11:00,Web,complete,goToUrl,2019-03-05T19:36:25.029+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:36:27.449+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:36:31.622+11:00,data123.xls,name26,Excel,complete,findValue,TRUE,2019-03-05T19:36:33.241+11:00,add,Web,complete,clickButton,2019-03-05T19:36:36.484+11:00,OK,Web,complete,clickButton
598,value1,value1938,Web,complete,insertValue,2019-03-05T19:36:50.204+11:00,code,25,Web,complete,insertValue,2019-03-05T19:37:08.013+11:00,B6,Web,complete,clickButton,2019-03-05T19:37:18.339+11:00,Web,complete,goToUrl,2019-03-05T19:37:22.817+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:37:29.026+11:00,Excel,complete,openFile,Sheet1,2019-03-05T19:37:31.967+11:00,data123.xls,name638,Excel,complete,findValue,TRUE,2019-03-05T19:37:34.602+11:00,add,Web,complete,clickButton,2019-03-05T19:37:38.530+11:00,OK,Web,complete,clickButton
599,value1,value927,Web,complete,insertValue,2019-03-05T19:37:52.236+11:00,code,38,Web,complete,insertValue,2019-03-05T19:38:00.952+11:00,B6,Web,complete,clickButton,2019-03-05T19:38:12.736+11:00,Web,complete,goToUrl,2019-03-05T19:38:16.113+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T19:38:16.586+11:00,code,38,Web,complete,copy,2019-03-05T19:38:19.053+11:00,paste,B,name,38,Excel,530,complete,2019-03-05T19:38:22.381+11:00,Web,complete,goToUrl,2019-03-05T19:38:25.627+11:00,www.webpage.com,OK,Web
