Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
790,name,name3077,Web,complete,insertValue,2019-03-08T06:43:22.513+11:00,surname,surname3077,Web,complete,insertValue,2019-03-08T06:43:27.206+11:00,age,age43,Web,complete,insertValue,2019-03-08T06:43:33.784+11:00,T1,type,Web,complete,insertValue,2019-03-08T06:43:48.941+11:00,confirm,Web,complete,clickButton,2019-03-08T06:44:00.743+11:00,B1,Web,complete,clickButton,2019-03-08T06:44:02.755+11:00,name,name3077,Web,complete,copy,2019-03-08T06:44:06.839+11:00,paste,B,name,name3077,Excel,1,complete,2019-03-08T06:44:10.046+11:00,surname,surname3077,Web,complete,copy,2019-03-08T06:44:12.314+11:00,paste,B,surname,surname3077,Excel,1,complete,2019-03-08T06:44:14.348+11:00,add,Web,complete
791,name,name1043,Web,complete,insertValue,2019-03-08T06:44:28.827+11:00,surname,surname1043,Web,complete,insertValue,2019-03-08T06:44:31.508+11:00,age,age34,Web,complete,insertValue,2019-03-08T06:44:31.973+11:00,T4,type,Web,complete,insertValue,2019-03-08T06:44:34.130+11:00,confirm,Web,complete,clickButton,2019-03-08T06:44:37.131+11:00,B5,Web,complete,clickButton,2019-03-08T06:44:40.990+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T06:44:43.219+11:00,Button6,Web,complete,clickButton,2019-03-08T06:44:50.376+11:00,Excel,complete,openFile,Sheet1,2019-03-08T06:44:54.005+11:00,data.xls,copy,B,value338,Excel,45,complete,2019-03-08T06:45:08.715+11:00,Special code,value338,Web,complete,paste,2019-03-08T06:45:11.187+11:00,Country
792,name,name1494,Web,complete,insertValue,2019-03-08T06:45:32.016+11:00,surname,surname1494,Web,complete,insertValue,2019-03-08T06:45:32.016+11:00,age,age26,Web,complete,insertValue,2019-03-08T06:45:36.603+11:00,T4,type,Web,complete,insertValue,2019-03-08T06:45:42.299+11:00,confirm,Web,complete,clickButton,2019-03-08T06:45:48.223+11:00,B5,Web,complete,clickButton,2019-03-08T06:45:52.697+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T06:45:56.438+11:00,Button6,Web,complete,clickButton,2019-03-08T06:45:56.438+11:00,Excel,complete,openFile,Sheet1,2019-03-08T06:46:00.486+11:00,data.xls,copy,B,value792,Excel,70,complete,2019-03-08T06:46:02.801+11:00,Special code,value792,Web,complete,paste,2019-03-08T06:46:07.398+11:00,Country
793,name,name3795,Web,complete,insertValue,2019-03-08T06:46:31.984+11:00,surname,surname3795,Web,complete,insertValue,2019-03-08T06:46:37.594+11:00,age,age29,Web,complete,insertValue,2019-03-08T06:46:37.594+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:46:55.188+11:00,confirm,Web,complete,clickButton,2019-03-08T06:47:06.620+11:00,B4,Web,complete,clickButton,2019-03-08T06:47:10.069+11:00,Clients,Web,complete,clickButton,2019-03-08T06:47:13.482+11:00,clientID,ID3795,Web,complete,insertValue,2019-03-08T06:47:15.692+11:00,Web,complete,pressKey,2019-03-08T06:47:24.591+11:00,enter,update,ID3795,Web,complete,clickButton,2019-03-08T06:47:27.350+11:00,address,addA2783addB3828,Web,complete,insertValue,2019-03-08T06:47:31.688+11:00,Country101,country,Web
794,name,name3813,Web,complete,insertValue,2019-03-08T06:48:10.348+11:00,surname,surname3813,Web,complete,insertValue,2019-03-08T06:48:21.128+11:00,age,age22,Web,complete,insertValue,2019-03-08T06:48:24.851+11:00,T4,type,Web,complete,insertValue,2019-03-08T06:48:34.918+11:00,confirm,Web,complete,clickButton,2019-03-08T06:48:44.383+11:00,B5,Web,complete,clickButton,2019-03-08T06:48:48.354+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T06:48:50.477+11:00,Button6,Web,complete,clickButton,2019-03-08T06:48:58.341+11:00,Excel,complete,openFile,Sheet1,2019-03-08T06:49:01.602+11:00,data.xls,copy,B,value997,Excel,42,complete,2019-03-08T06:49:14.331+11:00,Special code,value997,Web,complete,paste,2019-03-08T06:49:16.811+11:00,Country
795,name,name3398,Web,complete,insertValue,2019-03-08T06:49:48.063+11:00,surname,surname3398,Web,complete,insertValue,2019-03-08T06:49:48.063+11:00,age,age18,Web,complete,insertValue,2019-03-08T06:49:54.762+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:50:02.951+11:00,confirm,Web,complete,clickButton,2019-03-08T06:50:09.649+11:00,B4,Web,complete,clickButton,2019-03-08T06:50:14.428+11:00,Clients,Web,complete,clickButton,2019-03-08T06:50:17.968+11:00,clientID,ID3398,Web,complete,insertValue,2019-03-08T06:50:21.123+11:00,Web,complete,pressKey,2019-03-08T06:50:21.123+11:00,enter,update,ID3398,Web,complete,clickButton,2019-03-08T06:50:24.634+11:00,address,addA312addB1363,Web,complete,insertValue,2019-03-08T06:50:25.993+11:00,Country38,country,Web
796,name,name3149,Web,complete,insertValue,2019-03-08T06:50:56.421+11:00,surname,surname3149,Web,complete,insertValue,2019-03-08T06:51:00.345+11:00,age,age44,Web,complete,insertValue,2019-03-08T06:51:02.746+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:51:07.609+11:00,confirm,Web,complete,clickButton,2019-03-08T06:51:18.577+11:00,B4,Web,complete,clickButton,2019-03-08T06:51:21.882+11:00,Clients,Web,complete,clickButton,2019-03-08T06:51:24.833+11:00,clientID,ID3149,Web,complete,insertValue,2019-03-08T06:51:27.108+11:00,Web,complete,pressKey,2019-03-08T06:51:35.194+11:00,enter,update,ID3149,Web,complete,clickButton,2019-03-08T06:51:39.446+11:00,address,addA2276addB266,Web,complete,insertValue,2019-03-08T06:51:42.832+11:00,Country74,country,Web
797,name,name2418,Web,complete,insertValue,2019-03-08T06:52:12.357+11:00,surname,surname2418,Web,complete,insertValue,2019-03-08T06:52:16.136+11:00,age,age47,Web,complete,insertValue,2019-03-08T06:52:35.676+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:52:41.960+11:00,confirm,Web,complete,clickButton,2019-03-08T06:52:50.770+11:00,B4,Web,complete,clickButton,2019-03-08T06:52:53.956+11:00,Clients,Web,complete,clickButton,2019-03-08T06:52:57.706+11:00,clientID,ID2418,Web,complete,insertValue,2019-03-08T06:52:59.991+11:00,Web,complete,pressKey,2019-03-08T06:53:10.873+11:00,enter,update,ID2418,Web,complete,clickButton,2019-03-08T06:53:14.790+11:00,address,addA2854addB3917,Web,complete,insertValue,2019-03-08T06:53:17.038+11:00,Country100,country,Web
798,name,name198,Web,complete,insertValue,2019-03-08T06:53:51.354+11:00,surname,surname198,Web,complete,insertValue,2019-03-08T06:54:06.818+11:00,age,age28,Web,complete,insertValue,2019-03-08T06:54:06.818+11:00,T1,type,Web,complete,insertValue,2019-03-08T06:54:11.455+11:00,confirm,Web,complete,clickButton,2019-03-08T06:54:19.537+11:00,B1,Web,complete,clickButton,2019-03-08T06:54:23.732+11:00,name,name198,Web,complete,copy,2019-03-08T06:54:27.340+11:00,paste,B,name,name198,Excel,1,complete,2019-03-08T06:54:30.194+11:00,surname,surname198,Web,complete,copy,2019-03-08T06:54:35.090+11:00,paste,B,surname,surname198,Excel,1,complete,2019-03-08T06:54:38.799+11:00,add,Web,complete
799,name,name3014,Web,complete,insertValue,2019-03-08T06:54:59.109+11:00,surname,surname3014,Web,complete,insertValue,2019-03-08T06:55:16.210+11:00,age,age20,Web,complete,insertValue,2019-03-08T06:55:22.125+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:55:27.729+11:00,confirm,Web,complete,clickButton,2019-03-08T06:55:30.956+11:00,B4,Web,complete,clickButton,2019-03-08T06:55:33.457+11:00,Clients,Web,complete,clickButton,2019-03-08T06:55:37.145+11:00,clientID,ID3014,Web,complete,insertValue,2019-03-08T06:55:39.209+11:00,Web,complete,pressKey,2019-03-08T06:55:39.209+11:00,enter,update,ID3014,Web,complete,clickButton,2019-03-08T06:55:44.894+11:00,address,addA2387addB3431,Web,complete,insertValue,2019-03-08T06:55:49.855+11:00,Country155,country,Web
800,name,name2519,Web,complete,insertValue,2019-03-08T06:56:11.510+11:00,surname,surname2519,Web,complete,insertValue,2019-03-08T06:56:21.080+11:00,age,age23,Web,complete,insertValue,2019-03-08T06:56:23.371+11:00,T4,type,Web,complete,insertValue,2019-03-08T06:56:37.875+11:00,confirm,Web,complete,clickButton,2019-03-08T06:56:45.150+11:00,B5,Web,complete,clickButton,2019-03-08T06:56:49.263+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T06:56:51.287+11:00,Button6,Web,complete,clickButton,2019-03-08T06:57:00.894+11:00,Excel,complete,openFile,Sheet1,2019-03-08T06:57:05.497+11:00,data.xls,copy,B,value465,Excel,35,complete,2019-03-08T06:57:10.260+11:00,Special code,value465,Web,complete,paste,2019-03-08T06:57:12.773+11:00,Country
801,name,name2501,Web,complete,insertValue,2019-03-08T06:57:36.194+11:00,surname,surname2501,Web,complete,insertValue,2019-03-08T06:57:45.164+11:00,age,age34,Web,complete,insertValue,2019-03-08T06:57:49.794+11:00,T1,type,Web,complete,insertValue,2019-03-08T06:58:05.739+11:00,confirm,Web,complete,clickButton,2019-03-08T06:58:15.488+11:00,B1,Web,complete,clickButton,2019-03-08T06:58:18.034+11:00,name,name2501,Web,complete,copy,2019-03-08T06:58:21.650+11:00,paste,B,name,name2501,Excel,1,complete,2019-03-08T06:58:25.496+11:00,surname,surname2501,Web,complete,copy,2019-03-08T06:58:31.105+11:00,paste,B,surname,surname2501,Excel,1,complete,2019-03-08T06:58:35.365+11:00,add,Web,complete
802,name,name1695,Web,complete,insertValue,2019-03-08T06:58:53.943+11:00,surname,surname1695,Web,complete,insertValue,2019-03-08T06:59:01.441+11:00,age,age36,Web,complete,insertValue,2019-03-08T06:59:05.235+11:00,T3,type,Web,complete,insertValue,2019-03-08T06:59:17.595+11:00,confirm,Web,complete,clickButton,2019-03-08T06:59:26.057+11:00,B4,Web,complete,clickButton,2019-03-08T06:59:29.580+11:00,Clients,Web,complete,clickButton,2019-03-08T06:59:32.058+11:00,clientID,ID1695,Web,complete,insertValue,2019-03-08T06:59:34.517+11:00,Web,complete,pressKey,2019-03-08T06:59:34.517+11:00,enter,update,ID1695,Web,complete,clickButton,2019-03-08T06:59:38.275+11:00,address,addA2781addB1858,Web,complete,insertValue,2019-03-08T06:59:41.575+11:00,Country182,country,Web
803,name,name2676,Web,complete,insertValue,2019-03-08T07:00:07.205+11:00,surname,surname2676,Web,complete,insertValue,2019-03-08T07:00:17.603+11:00,age,age21,Web,complete,insertValue,2019-03-08T07:00:24.179+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:00:27.148+11:00,confirm,Web,complete,clickButton,2019-03-08T07:00:28.640+11:00,B4,Web,complete,clickButton,2019-03-08T07:00:31.373+11:00,Clients,Web,complete,clickButton,2019-03-08T07:00:34.298+11:00,clientID,ID2676,Web,complete,insertValue,2019-03-08T07:00:37.530+11:00,Web,complete,pressKey,2019-03-08T07:00:45.132+11:00,enter,update,ID2676,Web,complete,clickButton,2019-03-08T07:00:50.401+11:00,address,addA563addB1920,Web,complete,insertValue,2019-03-08T07:00:53.221+11:00,Country12,country,Web
804,name,name1927,Web,complete,insertValue,2019-03-08T07:01:19.313+11:00,surname,surname1927,Web,complete,insertValue,2019-03-08T07:01:30.335+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:01:46.991+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:01:58.332+11:00,confirm,Web,complete,clickButton,2019-03-08T07:02:06.159+11:00,B5,Web,complete,clickButton,2019-03-08T07:02:09.690+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:02:12.497+11:00,Button6,Web,complete,clickButton,2019-03-08T07:02:15.187+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:02:18.528+11:00,data.xls,copy,B,value726,Excel,61,complete,2019-03-08T07:02:31.136+11:00,Special code,value726,Web,complete,paste,2019-03-08T07:02:31.350+11:00,Country
805,name,name2530,Web,complete,insertValue,2019-03-08T07:03:00.275+11:00,surname,surname2530,Web,complete,insertValue,2019-03-08T07:03:14.813+11:00,age,age26,Web,complete,insertValue,2019-03-08T07:03:21.027+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:03:32.026+11:00,confirm,Web,complete,clickButton,2019-03-08T07:03:42.409+11:00,B4,Web,complete,clickButton,2019-03-08T07:03:44.721+11:00,Clients,Web,complete,clickButton,2019-03-08T07:03:49.089+11:00,clientID,ID2530,Web,complete,insertValue,2019-03-08T07:03:52.588+11:00,Web,complete,pressKey,2019-03-08T07:03:56.492+11:00,enter,update,ID2530,Web,complete,clickButton,2019-03-08T07:04:00.339+11:00,address,addA3894addB459,Web,complete,insertValue,2019-03-08T07:04:02.555+11:00,Australia,country,Web
806,name,name359,Web,complete,insertValue,2019-03-08T07:04:33.493+11:00,surname,surname359,Web,complete,insertValue,2019-03-08T07:04:48.598+11:00,age,age35,Web,complete,insertValue,2019-03-08T07:04:54.128+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:04:55.356+11:00,confirm,Web,complete,clickButton,2019-03-08T07:04:59.963+11:00,B5,Web,complete,clickButton,2019-03-08T07:05:02.748+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:05:08.160+11:00,Button6,Web,complete,clickButton,2019-03-08T07:05:08.160+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:05:09.005+11:00,data.xls,copy,B,value645,Excel,32,complete,2019-03-08T07:05:13.377+11:00,Special code,value645,Web,complete,paste,2019-03-08T07:05:15.818+11:00,Country
807,name,name3688,Web,complete,insertValue,2019-03-08T07:05:37.071+11:00,surname,surname3688,Web,complete,insertValue,2019-03-08T07:05:45.993+11:00,age,age21,Web,complete,insertValue,2019-03-08T07:06:10.277+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:06:22.533+11:00,confirm,Web,complete,clickButton,2019-03-08T07:06:33.866+11:00,B1,Web,complete,clickButton,2019-03-08T07:06:36.633+11:00,name,name3688,Web,complete,copy,2019-03-08T07:06:39.829+11:00,paste,B,name,name3688,Excel,1,complete,2019-03-08T07:06:42.397+11:00,surname,surname3688,Web,complete,copy,2019-03-08T07:06:45.492+11:00,paste,B,surname,surname3688,Excel,1,complete,2019-03-08T07:06:48.048+11:00,add,Web,complete
808,name,name2996,Web,complete,insertValue,2019-03-08T07:07:07.171+11:00,surname,surname2996,Web,complete,insertValue,2019-03-08T07:07:07.973+11:00,age,age22,Web,complete,insertValue,2019-03-08T07:07:20.552+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:07:28.387+11:00,confirm,Web,complete,clickButton,2019-03-08T07:07:39.089+11:00,B5,Web,complete,clickButton,2019-03-08T07:07:40.608+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:07:41.357+11:00,Button6,Web,complete,clickButton,2019-03-08T07:07:52.799+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:07:57.689+11:00,data.xls,copy,B,value492,Excel,58,complete,2019-03-08T07:08:06.488+11:00,Special code,value492,Web,complete,paste,2019-03-08T07:08:11.252+11:00,Country
809,name,name1488,Web,complete,insertValue,2019-03-08T07:08:33.458+11:00,surname,surname1488,Web,complete,insertValue,2019-03-08T07:08:36.997+11:00,age,age28,Web,complete,insertValue,2019-03-08T07:08:44.156+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:08:52.975+11:00,confirm,Web,complete,clickButton,2019-03-08T07:09:01.613+11:00,B3,Web,complete,clickButton,2019-03-08T07:09:04.506+11:00,Button6,Web,complete,clickButton,2019-03-08T07:09:08.326+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:09:10.372+11:00,data.xls,copy,A,value967,Excel,86,complete,2019-03-08T07:09:15.025+11:00,Special code,value967,Web,complete,paste,2019-03-08T07:09:16.707+11:00,OK,Web,complete,clickButton,2019-03-08T07:09:21.049+11:00,,
810,name,name3527,Web,complete,insertValue,2019-03-08T07:09:31.049+11:00,surname,surname3527,Web,complete,insertValue,2019-03-08T07:09:38.247+11:00,age,age23,Web,complete,insertValue,2019-03-08T07:09:56.566+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:10:16.956+11:00,confirm,Web,complete,clickButton,2019-03-08T07:10:22.171+11:00,B4,Web,complete,clickButton,2019-03-08T07:10:26.208+11:00,Clients,Web,complete,clickButton,2019-03-08T07:10:28.693+11:00,clientID,ID3527,Web,complete,insertValue,2019-03-08T07:10:30.129+11:00,Web,complete,pressKey,2019-03-08T07:10:36.976+11:00,enter,update,ID3527,Web,complete,clickButton,2019-03-08T07:10:41.586+11:00,address,addA1818addB2315,Web,complete,insertValue,2019-03-08T07:10:44.214+11:00,Country83,country,Web
811,name,name1639,Web,complete,insertValue,2019-03-08T07:11:28.017+11:00,surname,surname1639,Web,complete,insertValue,2019-03-08T07:11:28.017+11:00,age,age24,Web,complete,insertValue,2019-03-08T07:11:32.882+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:11:39.674+11:00,confirm,Web,complete,clickButton,2019-03-08T07:11:42.157+11:00,B4,Web,complete,clickButton,2019-03-08T07:11:43.775+11:00,Clients,Web,complete,clickButton,2019-03-08T07:11:48.270+11:00,clientID,ID1639,Web,complete,insertValue,2019-03-08T07:11:50.794+11:00,Web,complete,pressKey,2019-03-08T07:11:57.816+11:00,enter,update,ID1639,Web,complete,clickButton,2019-03-08T07:11:59.822+11:00,address,addA3521addB2513,Web,complete,insertValue,2019-03-08T07:12:02.388+11:00,Country105,country,Web
812,name,name68,Web,complete,insertValue,2019-03-08T07:12:39.462+11:00,surname,surname68,Web,complete,insertValue,2019-03-08T07:12:49.139+11:00,age,age18,Web,complete,insertValue,2019-03-08T07:12:54.128+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:13:09.654+11:00,confirm,Web,complete,clickButton,2019-03-08T07:13:09.654+11:00,B5,Web,complete,clickButton,2019-03-08T07:13:14.035+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-08T07:13:16.717+11:00,Button6,Web,complete,clickButton,2019-03-08T07:13:29.750+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:13:31.149+11:00,data.xls,copy,B,value720,Excel,26,complete,2019-03-08T07:13:52.177+11:00,Special code,value720,Web,complete,paste,2019-03-08T07:13:54.505+11:00,Country
813,name,name137,Web,complete,insertValue,2019-03-08T07:14:23.587+11:00,surname,surname137,Web,complete,insertValue,2019-03-08T07:14:30.671+11:00,age,age21,Web,complete,insertValue,2019-03-08T07:14:42.468+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:14:47.311+11:00,confirm,Web,complete,clickButton,2019-03-08T07:15:02.544+11:00,B1,Web,complete,clickButton,2019-03-08T07:15:06.150+11:00,name,name137,Web,complete,copy,2019-03-08T07:15:08.824+11:00,paste,B,name,name137,Excel,1,complete,2019-03-08T07:15:11.992+11:00,surname,surname137,Web,complete,copy,2019-03-08T07:15:15.160+11:00,paste,B,surname,surname137,Excel,1,complete,2019-03-08T07:15:17.168+11:00,add,Web,complete
814,name,name1037,Web,complete,insertValue,2019-03-08T07:15:38.086+11:00,surname,surname1037,Web,complete,insertValue,2019-03-08T07:15:46.755+11:00,age,age42,Web,complete,insertValue,2019-03-08T07:15:52.259+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:16:14.329+11:00,confirm,Web,complete,clickButton,2019-03-08T07:16:25.165+11:00,B4,Web,complete,clickButton,2019-03-08T07:16:28.312+11:00,Clients,Web,complete,clickButton,2019-03-08T07:16:31.664+11:00,clientID,ID1037,Web,complete,insertValue,2019-03-08T07:16:34.754+11:00,Web,complete,pressKey,2019-03-08T07:16:53.938+11:00,enter,update,ID1037,Web,complete,clickButton,2019-03-08T07:16:58.442+11:00,address,addA799addB3155,Web,complete,insertValue,2019-03-08T07:17:02.264+11:00,Country37,country,Web
815,name,name3168,Web,complete,insertValue,2019-03-08T07:17:47.816+11:00,surname,surname3168,Web,complete,insertValue,2019-03-08T07:17:53.600+11:00,age,age35,Web,complete,insertValue,2019-03-08T07:18:05.183+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:18:12.314+11:00,confirm,Web,complete,clickButton,2019-03-08T07:18:24.602+11:00,B4,Web,complete,clickButton,2019-03-08T07:18:26.256+11:00,Clients,Web,complete,clickButton,2019-03-08T07:18:29.216+11:00,clientID,ID3168,Web,complete,insertValue,2019-03-08T07:18:35.037+11:00,Web,complete,pressKey,2019-03-08T07:18:36.781+11:00,enter,update,ID3168,Web,complete,clickButton,2019-03-08T07:18:39.199+11:00,address,addA2305addB742,Web,complete,insertValue,2019-03-08T07:18:41.919+11:00,Country77,country,Web
816,name,name616,Web,complete,insertValue,2019-03-08T07:19:25.932+11:00,surname,surname616,Web,complete,insertValue,2019-03-08T07:19:25.932+11:00,age,age44,Web,complete,insertValue,2019-03-08T07:19:32.514+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:19:36.596+11:00,confirm,Web,complete,clickButton,2019-03-08T07:19:48.829+11:00,B1,Web,complete,clickButton,2019-03-08T07:19:51.999+11:00,name,name616,Web,complete,copy,2019-03-08T07:19:55.872+11:00,paste,B,name,name616,Excel,1,complete,2019-03-08T07:19:57.819+11:00,surname,surname616,Web,complete,copy,2019-03-08T07:20:02.040+11:00,paste,B,surname,surname616,Excel,1,complete,2019-03-08T07:20:05.917+11:00,add,Web,complete
817,name,name3123,Web,complete,insertValue,2019-03-08T07:20:27.466+11:00,surname,surname3123,Web,complete,insertValue,2019-03-08T07:20:34.802+11:00,age,age20,Web,complete,insertValue,2019-03-08T07:20:34.802+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:20:39.150+11:00,confirm,Web,complete,clickButton,2019-03-08T07:20:51.445+11:00,B3,Web,complete,clickButton,2019-03-08T07:20:54.619+11:00,Button6,Web,complete,clickButton,2019-03-08T07:20:57.925+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:21:01.102+11:00,data.xls,copy,A,value727,Excel,59,complete,2019-03-08T07:21:16.264+11:00,Special code,value727,Web,complete,paste,2019-03-08T07:21:20.006+11:00,OK,Web,complete,clickButton,2019-03-08T07:21:25.501+11:00,,
818,name,name3968,Web,complete,insertValue,2019-03-08T07:21:35.501+11:00,surname,surname3968,Web,complete,insertValue,2019-03-08T07:21:43.200+11:00,age,age41,Web,complete,insertValue,2019-03-08T07:21:43.200+11:00,T1,type,Web,complete,insertValue,2019-03-08T07:21:44.648+11:00,confirm,Web,complete,clickButton,2019-03-08T07:22:06.726+11:00,B1,Web,complete,clickButton,2019-03-08T07:22:12.284+11:00,name,name3968,Web,complete,copy,2019-03-08T07:22:15.768+11:00,paste,B,name,name3968,Excel,1,complete,2019-03-08T07:22:17.424+11:00,surname,surname3968,Web,complete,copy,2019-03-08T07:22:21.027+11:00,paste,B,surname,surname3968,Excel,1,complete,2019-03-08T07:22:24.596+11:00,add,Web,complete
819,name,name338,Web,complete,insertValue,2019-03-08T07:22:45.832+11:00,surname,surname338,Web,complete,insertValue,2019-03-08T07:23:00.137+11:00,age,age24,Web,complete,insertValue,2019-03-08T07:23:06.097+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:23:20.766+11:00,confirm,Web,complete,clickButton,2019-03-08T07:23:29.355+11:00,B3,Web,complete,clickButton,2019-03-08T07:23:31.768+11:00,Button6,Web,complete,clickButton,2019-03-08T07:23:33.316+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:23:37.221+11:00,data.xls,copy,A,value521,Excel,61,complete,2019-03-08T07:23:45.945+11:00,Special code,value521,Web,complete,paste,2019-03-08T07:23:48.536+11:00,OK,Web,complete,clickButton,2019-03-08T07:23:52.431+11:00,,
820,name,name2901,Web,complete,insertValue,2019-03-08T07:24:02.431+11:00,surname,surname2901,Web,complete,insertValue,2019-03-08T07:24:12.310+11:00,age,age18,Web,complete,insertValue,2019-03-08T07:24:16.029+11:00,T2,type,Web,complete,insertValue,2019-03-08T07:24:27.533+11:00,confirm,Web,complete,clickButton,2019-03-08T07:24:30.511+11:00,B3,Web,complete,clickButton,2019-03-08T07:24:32.185+11:00,Button6,Web,complete,clickButton,2019-03-08T07:24:35.061+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:24:38.128+11:00,data.xls,copy,A,value233,Excel,83,complete,2019-03-08T07:24:40.784+11:00,Special code,value233,Web,complete,paste,2019-03-08T07:24:44.802+11:00,OK,Web,complete,clickButton,2019-03-08T07:24:47.911+11:00,,
821,name,name3434,Web,complete,insertValue,2019-03-08T07:24:57.911+11:00,surname,surname3434,Web,complete,insertValue,2019-03-08T07:24:58.173+11:00,age,age45,Web,complete,insertValue,2019-03-08T07:25:06.077+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:25:18.851+11:00,confirm,Web,complete,clickButton,2019-03-08T07:25:20.448+11:00,B4,Web,complete,clickButton,2019-03-08T07:25:22.658+11:00,Clients,Web,complete,clickButton,2019-03-08T07:25:25.883+11:00,clientID,ID3434,Web,complete,insertValue,2019-03-08T07:25:28.380+11:00,Web,complete,pressKey,2019-03-08T07:25:38.812+11:00,enter,update,ID3434,Web,complete,clickButton,2019-03-08T07:25:41.575+11:00,address,addA3729addB1359,Web,complete,insertValue,2019-03-08T07:25:45.202+11:00,Australia,country,Web
822,name,name779,Web,complete,insertValue,2019-03-08T07:26:48.798+11:00,surname,surname779,Web,complete,insertValue,2019-03-08T07:26:50.158+11:00,age,age19,Web,complete,insertValue,2019-03-08T07:26:59.290+11:00,T4,type,Web,complete,insertValue,2019-03-08T07:27:11.546+11:00,confirm,Web,complete,clickButton,2019-03-08T07:27:21.571+11:00,B5,Web,complete,clickButton,2019-03-08T07:27:25.209+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-08T07:27:29.080+11:00,Button6,Web,complete,clickButton,2019-03-08T07:27:41.458+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:27:44.390+11:00,data.xls,copy,B,value944,Excel,56,complete,2019-03-08T07:27:48.815+11:00,Special code,value944,Web,complete,paste,2019-03-08T07:27:52.495+11:00,Country
823,name,name3458,Web,complete,insertValue,2019-03-08T07:28:17.969+11:00,surname,surname3458,Web,complete,insertValue,2019-03-08T07:28:24.959+11:00,age,age18,Web,complete,insertValue,2019-03-08T07:28:29.879+11:00,T3,type,Web,complete,insertValue,2019-03-08T07:28:39.192+11:00,confirm,Web,complete,clickButton,2019-03-08T07:28:48.525+11:00,B4,Web,complete,clickButton,2019-03-08T07:28:50.342+11:00,Clients,Web,complete,clickButton,2019-03-08T07:28:53.849+11:00,clientID,ID3458,Web,complete,insertValue,2019-03-08T07:28:56.403+11:00,Web,complete,pressKey,2019-03-08T07:29:12.742+11:00,enter,update,ID3458,Web,complete,clickButton,2019-03-08T07:29:16.391+11:00,address,addA139addB35,Web,complete,insertValue,2019-03-08T07:29:19.977+11:00,Australia,country,Web
